day_type,start_hour,Pickup Centroid Latitude,Pickup Centroid Longitude,Dropoff Centroid Latitude,Dropoff Centroid Longitude,group_n,group_id,representative_year,representative_month,representative_day
0,6,41.885,-87.621,41.916,-87.675,8,643504,2026,04,26
0,0,41.892,-87.632,41.916,-87.675,129,58708,2026,04,22
0,20,41.893,-87.626,41.871,-87.631,297,1797640,2026,04,22
1,15,41.871,-87.698,41.877,-87.752,1,3125268,2026,04,25
0,19,41.871,-87.622,41.868,-87.643,290,1639917,2026,04,25
0,21,41.849,-87.624,41.895,-87.62,425,1919229,2026,04,22
0,0,41.881,-87.633,41.935,-87.647,305,51129,2026,04,22
0,21,41.868,-87.714,41.893,-87.626,15,1926291,2026,04,22
2,16,41.871,-87.631,41.859,-87.617,167,4646783,2026,04,22
2,2,41.891,-87.619,41.95,-87.644,35,4008202,2026,04,22
1,15,41.994,-87.679,41.973,-87.65,1,3162990,2026,04,22
0,2,41.946,-87.647,41.892,-87.629,64,340080,2026,04,25
2,5,41.885,-87.643,41.892,-87.632,353,4270367,2026,04,26
2,2,41.935,-87.643,41.929,-87.651,20,4037147,2026,04,22
0,4,41.979,-87.903,41.943,-87.657,174,558864,2026,04,22
1,1,41.885,-87.657,41.922,-87.651,75,2463268,2026,04,25
0,0,41.892,-87.613,41.893,-87.638,481,59663,2026,04,22
0,3,41.816,-87.633,41.816,-87.675,2,383808,2026,04,25
0,15,41.907,-87.636,41.881,-87.633,1256,1169148,2026,04,22
0,4,41.907,-87.641,41.881,-87.633,18,521167,2026,04,22
1,19,41.891,-87.619,41.946,-87.654,32,3399213,2026,04,22
2,0,41.881,-87.633,41.892,-87.684,6,3821425,2026,04,22
0,16,41.905,-87.65,41.856,-87.66,6,1285611,2026,04,22
0,15,41.929,-87.661,41.905,-87.65,21,1181343,2026,04,22
0,2,41.979,-87.903,41.893,-87.653,407,355658,2026,04,25
0,2,41.849,-87.624,41.893,-87.626,332,278784,2026,04,26
1,11,41.727,-87.658,41.741,-87.61,2,2990513,2026,04,26
0,23,41.922,-87.634,41.895,-87.62,157,2282375,2026,04,26
0,1,41.885,-87.657,41.909,-87.631,279,179316,2026,04,22
0,21,41.744,-87.62,41.728,-87.63,10,1879451,2026,04,22
0,18,41.9,-87.67,41.98,-87.694,5,1528964,2026,04,26
2,2,41.868,-87.643,41.891,-87.619,36,3999558,2026,04,22
1,13,41.901,-87.694,41.915,-87.632,5,3041636,2026,04,26
0,23,41.935,-87.64,41.879,-87.643,71,2292197,2026,04,26
0,22,41.935,-87.64,41.881,-87.633,149,2136824,2026,04,22
2,17,41.885,-87.657,41.885,-87.657,181,4703786,2026,04,22
2,22,41.891,-87.619,41.877,-87.622,102,5000280,2026,04,26
0,16,41.885,-87.621,41.871,-87.622,549,1273676,2026,04,22
0,13,41.885,-87.643,41.922,-87.656,38,910408,2026,04,25
1,22,41.931,-87.642,41.909,-87.631,9,3667729,2026,04,25
0,1,41.895,-87.62,41.9,-87.675,41,188003,2026,04,22
0,17,41.881,-87.633,41.929,-87.651,76,1390603,2026,04,22
0,1,41.922,-87.651,41.885,-87.657,186,208410,2026,04,22
0,15,41.935,-87.693,41.912,-87.67,2,1184408,2026,04,22
0,1,41.922,-87.641,41.895,-87.62,23,209088,2026,04,22
0,14,41.96,-87.702,41.945,-87.691,20,1074961,2026,04,22
