group_id,walkDist,walkTime,transitDist,transitTime,totalDist,totalTime,modes
643504,1801,1605,5217,630,7018,2235s,"{'SUBWAY', 'WALK'}"
58708,350,330,8169,1747,8519,2391s,"{'BUS', 'WALK'}"
1797640,996,945,1964,330,2960,1275s,"{'SUBWAY', 'WALK'}"
3125268,960,826,5120,970,6080,1838s,"{'BUS', 'WALK'}"
1639917,1564,1268,1487,558,3051,1827s,"{'BUS', 'WALK'}"
1919229,318,286,5262,1765,5580,2284s,"{'BUS', 'WALK'}"
51129,478,423,6391,1897,6869,2321s,"{'BUS', 'WALK'}"
1926291,751,618,11152,2717,11903,3605s,"{'BUS', 'WALK'}"
4646783,1209,974,1730,494,2939,1469s,"{'BUS', 'WALK'}"
4008202,652,558,6884,1051,7536,1609s,"{'BUS', 'WALK'}"
3162990,992,868,3434,935,4426,2219s,"{'BUS', 'WALK'}"
340080,784,763,7574,930,8358,1694s,"{'SUBWAY', 'WALK'}"
4270367,1112,1068,873,150,1985,1220s,"{'SUBWAY', 'WALK'}"
4037147,803,702,621,136,1424,843s,"{'BUS', 'WALK'}"
558864,1820,1516,23237,2460,25057,4724s,"{'BUS', 'SUBWAY', 'WALK'}"
2463268,1118,945,5289,1500,6407,2445s,"{'BUS', 'WALK'}"
59663,478,423,1949,652,2427,1076s,"{'BUS', 'WALK'}"
383808,1860,1547,3767,615,5627,2425s,"{'BUS', 'WALK'}"
1169148,939,764,3293,540,4232,1305s,"{'SUBWAY', 'WALK'}"
521167,889,713,3293,540,4182,1254s,"{'SUBWAY', 'WALK'}"
3399213,1067,1013,7573,960,8640,1973s,"{'SUBWAY', 'WALK'}"
3821425,662,686,5279,889,5941,2124s,"{'BUS', 'SUBWAY', 'WALK'}"
1285611,564,489,7581,2218,8145,3253s,"{'BUS', 'WALK'}"
1181343,1353,1150,2537,525,3890,1690s,"{'BUS', 'WALK'}"
355658,1746,1525,25362,2190,27108,3717s,"{'SUBWAY', 'WALK'}"
278784,663,593,4446,1233,5109,1827s,"{'BUS', 'WALK'}"
2990513,1524,1267,4007,748,5531,2011s,"{'BUS', 'WALK'}"
2282375,650,556,3522,922,4172,1480s,"{'BUS', 'WALK'}"
179316,1025,883,4093,992,5118,2317s,"{'BUS', 'WALK'}"
1879451,1058,887,1637,265,2695,1152s,"{'BUS', 'WALK'}"
1528964,1090,943,10921,2358,12011,3647s,"{'BUS', 'WALK'}"
3999558,870,741,3675,799,4545,1947s,"{'BUS', 'WALK'}"
3041636,466,408,9320,1575,9786,2352s,"{'BUS', 'WALK'}"
2292197,427,370,8022,2483,8449,2872s,"{'BUS', 'WALK'}"
2136824,266,214,6308,2205,6574,2437s,"{'BUS', 'WALK'}"
4703786,,,,,,,
5000280,767,713,1668,630,2435,1343s,"{'BUS', 'WALK'}"
1273676,426,339,3231,889,3657,1228s,"{'BUS', 'WALK'}"
910408,702,603,5474,1220,6176,2070s,"{'BUS', 'WALK'}"
3667729,497,432,2337,639,2834,1072s,"{'BUS', 'WALK'}"
188003,561,476,5397,1655,5958,2133s,"{'BUS', 'WALK'}"
1390603,887,847,9264,1500,10151,2347s,"{'SUBWAY', 'WALK'}"
208410,1105,913,5304,1443,6409,2356s,"{'BUS', 'WALK'}"
1184408,712,595,4419,1029,5131,2011s,"{'BUS', 'WALK'}"
209088,318,285,4019,1050,4337,1841s,"{'BUS', 'WALK'}"
1074961,1132,933,1888,455,3020,1420s,"{'BUS', 'WALK'}"
3640537,1089,1032,2846,450,3935,1482s,"{'SUBWAY', 'WALK'}"
4342778,823,735,5274,835,6097,2633s,"{'BUS', 'WALK'}"
3646257,751,769,5106,935,5857,1969s,"{'BUS', 'SUBWAY', 'WALK'}"
2182761,929,774,15257,2867,16186,4203s,"{'BUS', 'WALK'}"
2368518,483,394,823,163,1306,609s,"{'BUS', 'WALK'}"
1386429,531,459,8603,1718,9134,2922s,"{'BUS', 'WALK'}"
585859,876,805,2856,804,3732,1619s,"{'BUS', 'WALK'}"
1680389,1405,1182,997,295,2402,1479s,"{'BUS', 'WALK'}"
3190520,492,424,1485,462,1977,886s,"{'BUS', 'WALK'}"
187152,650,588,862,336,1512,926s,"{'BUS', 'WALK'}"
60094,1078,1100,3463,576,4541,2050s,"{'BUS', 'SUBWAY', 'WALK'}"
3483530,657,540,3619,982,4276,1535s,"{'BUS', 'WALK'}"
1134861,482,397,5359,1363,5841,1990s,"{'BUS', 'WALK'}"
2888076,433,374,2750,386,3183,761s,"{'BUS', 'WALK'}"
3198141,1154,963,2752,449,3906,1413s,"{'BUS', 'WALK'}"
4561923,485,407,6330,1314,6815,1974s,"{'BUS', 'WALK'}"
1525041,731,616,9692,1689,10423,2545s,"{'BUS', 'SUBWAY', 'WALK'}"
1376548,984,809,982,206,1966,1014s,"{'BUS', 'WALK'}"
3736204,530,474,5725,823,6255,1298s,"{'BUS', 'WALK'}"
3439011,1319,1139,9721,771,11040,1911s,"{'BUS', 'WALK'}"
2578911,1035,874,5736,1068,6771,2261s,"{'BUS', 'WALK'}"
3758403,777,769,9818,1738,10595,2829s,"{'BUS', 'SUBWAY', 'WALK'}"
2517518,949,862,14205,2860,15154,4364s,"{'BUS', 'WALK'}"
4763539,1107,1001,12921,1659,14028,2947s,"{'BUS', 'SUBWAY', 'WALK'}"
1268381,524,431,1170,354,1694,786s,"{'BUS', 'WALK'}"
3240327,2213,1874,47810,4749,50023,7520s,"{'BUS', 'SUBWAY', 'WALK'}"
4705586,693,605,6612,1604,7305,2525s,"{'BUS', 'WALK'}"
1269631,483,431,4439,1558,4922,2312s,"{'BUS', 'WALK'}"
2327639,1557,1257,12871,1411,14428,2988s,"{'BUS', 'WALK'}"
1392657,1104,914,7136,1985,8240,2900s,"{'BUS', 'WALK'}"
1795232,1275,1154,9690,1260,10965,2433s,"{'SUBWAY', 'WALK'}"
230455,870,741,1176,367,2046,1116s,"{'BUS', 'WALK'}"
58664,514,456,2470,740,2984,1446s,"{'BUS', 'WALK'}"
3401853,603,520,1298,456,1901,977s,"{'BUS', 'WALK'}"
1779628,,,,,,,
2390112,282,234,3976,1055,4258,1832s,"{'BUS', 'WALK'}"
3254748,1166,954,2728,915,3894,1870s,"{'BUS', 'WALK'}"
1634206,1539,1442,10887,1411,12426,3244s,"{'BUS', 'SUBWAY', 'WALK'}"
1394885,901,787,3109,752,4010,1539s,"{'BUS', 'WALK'}"
