group_id,walkDist,walkTime,transitDist,transitTime,totalDist,totalTime,modes
4037411,359,311,849,180,1208,492s,"{'BUS', 'WALK'}"
551047,689,601,5146,1038,5835,1942s,"{'BUS', 'WALK'}"
1874616,1138,968,8801,2071,9939,3405s,"{'BUS', 'WALK'}"
4438342,824,687,0,0,824,687s,{'WALK'}
1648541,1292,1236,3567,600,4859,1836s,"{'WALK', 'SUBWAY'}"
179897,744,779,5848,840,6592,1930s,"{'WALK', 'SUBWAY'}"
4472047,1084,892,1588,270,2672,1162s,"{'WALK', 'SUBWAY'}"
2574975,773,689,8352,1167,9125,2410s,"{'BUS', 'WALK', 'SUBWAY'}"
415820,1315,1207,1782,180,3097,1388s,"{'WALK', 'SUBWAY'}"
2087606,1591,1301,4964,750,6555,2051s,"{'WALK', 'SUBWAY'}"
4284724,1205,1057,1624,375,2829,1434s,"{'BUS', 'WALK'}"
919042,1490,1430,4358,540,5848,1967s,"{'WALK', 'SUBWAY'}"
77970,576,491,2041,492,2617,1014s,"{'BUS', 'WALK'}"
214098,744,672,3429,908,4173,1810s,"{'BUS', 'WALK'}"
4127757,864,724,500,95,1364,837s,"{'BUS', 'WALK'}"
2141585,615,564,9348,1290,9963,1855s,"{'WALK', 'SUBWAY'}"
4401177,752,700,14612,1947,15364,3248s,"{'BUS', 'WALK', 'SUBWAY'}"
2424469,1565,1285,29867,2985,31432,4511s,"{'BUS', 'WALK', 'SUBWAY'}"
1037365,558,505,2000,826,2558,1331s,"{'BUS', 'WALK'}"
1389354,278,244,3830,1234,4108,1795s,"{'BUS', 'WALK'}"
293810,1060,1055,16375,2287,17435,3603s,"{'BUS', 'WALK', 'SUBWAY'}"
1398157,526,440,2599,651,3125,1099s,"{'BUS', 'WALK'}"
1284353,489,431,821,394,1310,825s,"{'BUS', 'WALK'}"
2881984,2393,2019,0,0,2393,2019s,{'WALK'}
2528440,1051,909,1462,229,2513,1139s,"{'BUS', 'WALK'}"
122392,2294,1969,26195,2310,28489,4279s,"{'WALK', 'SUBWAY'}"
809068,957,1007,3866,783,4823,1970s,"{'BUS', 'WALK', 'SUBWAY'}"
18513,1021,852,0,0,1021,851s,{'WALK'}
440434,892,771,4066,772,4958,1545s,"{'BUS', 'WALK'}"
809189,1871,1577,29815,3144,31686,5159s,"{'BUS', 'WALK', 'SUBWAY'}"
65812,699,632,7520,2234,8219,3158s,"{'BUS', 'WALK'}"
1709878,1995,1634,24351,3476,26346,5764s,"{'BUS', 'WALK', 'SUBWAY'}"
908050,,,,,,,
4735572,1896,1618,19686,2409,21582,4471s,"{'BUS', 'WALK', 'SUBWAY'}"
4345008,1007,834,4272,736,5279,1590s,"{'BUS', 'WALK'}"
4060854,1317,1208,1535,210,2852,1419s,"{'WALK', 'SUBWAY'}"
293648,1156,990,2854,687,4010,2124s,"{'BUS', 'WALK'}"
