Pickup Neighborhood,Dropoff Neighborhood,totalTransitTime_wavg,rideshareTime_wavg,tripCost_wavg,transitPenalty_wavg,distance_wavg,Count,transitPenaltyColor
,Auburn Gresham,51.0,20.9,23.73,2.4401913875598087,6.4,1.0,orange
,Loop,73.96666666666667,29.0625,36.925000000000004,2.768360899265529,14.175,4.0,red
,O'Hare,52.19320175438597,12.828289473684212,25.4775,4.223457924974234,4.8881578947368425,76.0,red
,Wicker Park,63.0,38.333333333333336,28.73,1.643478260869565,10.7,1.0,green
Albany Park,Albany Park,19.840625,9.139930555555555,11.390416666666667,2.290767978007575,1.7729166666666663,48.0,yellow
Albany Park,Andersonville,39.422222222222224,21.844444444444445,18.606666666666666,1.8176858259929667,3.5333333333333337,3.0,green
Albany Park,Avondale,30.293408662900195,12.58201506591337,12.999887005649718,2.520955762112,2.3836158192090395,177.0,orange
Albany Park,Belmont Cragin,48.522474747474746,27.707070707070706,21.71333333333333,1.7992271765434715,5.815151515151517,66.0,green
Albany Park,Bucktown,43.604081632653056,26.012244897959178,16.038163265306125,1.769605122398994,4.561224489795919,49.0,green
Albany Park,Douglas,99.31666666666666,33.81666666666667,26.05,2.9369147363233115,12.0,1.0,red
Albany Park,Dunning,52.68333333333332,17.523333333333333,14.741999999999999,3.010874278998187,4.62,15.0,red
Albany Park,East Village,57.175000000000004,33.541666666666664,23.953333333333333,1.7763111639049995,6.283333333333332,6.0,green
Albany Park,Edgewater,44.868560606060605,19.142045454545453,19.459318181818183,2.4042425090347064,4.3977272727272725,44.0,orange
Albany Park,Garfield Ridge,95.52352941176468,48.42352941176471,60.88058823529412,2.0287806548954124,18.24705882352941,17.0,yellow
Albany Park,Grant Park,50.416666666666664,40.58809523809524,40.16857142857143,1.3385392145144408,9.557142857142859,14.0,green
Albany Park,Humboldt Park,47.138333333333335,29.355,21.005,1.7234063549712644,5.369999999999999,10.0,green
Albany Park,Hyde Park,78.8,37.03333333333333,36.23,2.1965248644370963,15.2,2.0,yellow
Albany Park,Irving Park,22.224603174603175,10.119444444444444,11.500714285714286,2.140121521894158,1.9690476190476192,42.0,yellow
Albany Park,Jefferson Park,23.447407407407404,8.677777777777777,11.336666666666668,2.831083122936429,1.984444444444444,45.0,red
Albany Park,Lake View,34.638194444444444,20.494444444444444,16.20208333333333,1.7362018841649007,4.520833333333333,24.0,green
Albany Park,Lincoln Park,38.791666666666664,23.94166666666667,20.435000000000002,1.6545799206457463,4.65,2.0,green
Albany Park,Lincoln Square,22.26895833333333,9.992083333333333,10.969375,2.4755177410282485,1.9737500000000001,80.0,orange
Albany Park,"Little Italy, UIC",65.91260162601625,30.345934959349595,26.678292682926827,2.2287904673888814,9.207317073170731,41.0,yellow
Albany Park,Little Village,86.61666666666666,38.983333333333334,30.23,2.2218896964514747,13.5,1.0,yellow
Albany Park,Logan Square,32.357692307692304,14.746153846153845,14.644615384615385,2.2472988932614757,3.4384615384615382,13.0,yellow
Albany Park,Loop,43.84161073825503,37.503635346756155,31.53738255033556,1.2391289303496076,8.91711409395973,298.0,green
Albany Park,Lower West Side,70.90833333333333,37.54166666666667,23.630000000000003,1.8919860025679451,9.9,2.0,green
Albany Park,Museum Campus,72.90119047619048,39.02380952380952,39.42392857142857,1.9065958557348546,11.47857142857143,28.0,green
Albany Park,North Center,21.04,10.320000000000002,14.146,2.2416959741565305,1.98,10.0,yellow
Albany Park,North Lawndale,63.68333333333333,35.516666666666666,33.98,1.7930549038010324,7.0,1.0,green
Albany Park,North Park,16.61822916666667,8.245833333333334,9.576562500000001,2.1088070783877915,1.775,64.0,yellow
Albany Park,Norwood Park,33.795833333333334,8.850000000000001,9.81,4.041680224997011,2.925,4.0,red
Albany Park,O'Hare,62.58126421100501,32.13221919054116,47.69950886766713,2.0133532144646056,11.516098226466575,733.0,green
Albany Park,Old Town,59.38333333333334,31.04629629629629,22.754444444444445,2.01081803510361,7.022222222222222,9.0,green
Albany Park,Portage Park,24.5025641025641,9.343589743589742,10.656153846153849,2.588323451652516,1.8576923076923078,26.0,orange
Albany Park,River North,49.798268398268405,29.489393939393942,26.484935064935065,1.7950673959893968,7.709090909090909,77.0,green
Albany Park,Rogers Park,49.17777777777778,23.348148148148148,19.391111111111112,2.1362527361437937,5.199999999999999,9.0,yellow
Albany Park,"Sauganash,Forest Glen",22.87777777777778,10.366666666666667,9.94,2.093998178178043,2.466666666666667,6.0,yellow
Albany Park,Sheffield & DePaul,31.5,18.40833333333333,19.32,1.7115635002886078,4.1,2.0,green
Albany Park,Streeterville,53.614120370370365,28.287037037037038,27.269537037037033,1.9680670692554885,8.498148148148148,216.0,green
Albany Park,Uptown,31.32439024390244,17.479674796747968,13.826341463414634,1.8890150199903197,3.7756097560975608,41.0,green
Albany Park,West Loop,59.51324599708882,32.12474526928676,25.58960698689957,1.939217794425684,8.049781659388648,229.0,green
Albany Park,West Ridge,44.025203252032526,18.928048780487803,14.719268292682926,2.4205207257111523,4.47560975609756,41.0,orange
Albany Park,West Town,49.05666666666666,22.990666666666666,23.9876,2.311397582229416,5.748000000000001,25.0,yellow
Albany Park,Wicker Park,50.21666666666667,15.2,12.29,3.303728070175439,4.4,1.0,red
Albany Park,Wrigleyville,47.171568627450974,21.71274509803922,18.96352941176471,2.240946208511958,4.405882352941176,17.0,yellow
Andersonville,Albany Park,39.48333333333334,17.326190476190476,18.325714285714287,2.3806090432312135,3.1857142857142855,7.0,orange
Andersonville,Andersonville,8.410317460317462,4.751587301587302,9.24047619047619,2.2421224720192816,0.6833333333333333,42.0,yellow
Andersonville,Avondale,46.71111111111111,31.376388888888886,22.2025,1.7058294225724782,5.616666666666667,12.0,green
Andersonville,Belmont Cragin,71.23333333333333,32.483333333333334,25.21,2.1929194458696766,8.5,1.0,yellow
Andersonville,Boystown,25.227999999999998,12.402333333333331,14.353800000000001,2.050994192596997,3.9900000000000007,50.0,yellow
Andersonville,Bucktown,37.36666666666667,19.693859649122807,18.16368421052632,1.912808561628408,4.526315789473684,19.0,green
Andersonville,Edgewater,17.2773606370876,6.769112627986348,11.147508532423208,2.601442433095158,1.2945392491467576,293.0,orange
Andersonville,Gage Park,81.35,35.516666666666666,46.23,2.290473955889254,19.2,1.0,yellow
Andersonville,Gold Coast,31.850000000000005,22.061111111111114,29.576666666666664,1.581117377708287,6.766666666666667,3.0,green
Andersonville,Grant Park,47.48333333333334,31.42361111111111,27.015416666666667,1.6231007851159063,8.833333333333334,24.0,green
Andersonville,Hyde Park,72.3,24.45,26.42,2.957055214723926,14.9,1.0,red
Andersonville,Irving Park,52.75,19.15833333333333,16.880833333333335,2.7912678010887553,4.316666666666666,12.0,red
Andersonville,Jefferson Park,43.583333333333336,23.637037037037036,22.764444444444443,1.8811828395206156,5.577777777777778,9.0,green
Andersonville,Lake View,29.50697399527187,13.265986997635935,15.048085106382981,2.3235494690530447,3.186879432624114,564.0,yellow
Andersonville,Lincoln Park,38.094791666666666,15.186458333333333,19.021250000000002,2.5729264562228478,5.78125,16.0,orange
Andersonville,Lincoln Square,18.991181657848326,8.58853615520282,12.353227513227514,2.6274821022647674,1.5359788359788358,189.0,orange
Andersonville,Logan Square,54.586111111111116,25.366666666666664,20.980833333333333,2.2059299706902933,5.747916666666668,48.0,yellow
Andersonville,Loop,48.58494077834179,22.733925549915398,26.312284263959388,2.196123791994882,8.75989847715736,197.0,yellow
Andersonville,Museum Campus,69.35,28.757142857142856,31.918571428571425,2.6658404511032434,10.014285714285716,14.0,orange
Andersonville,Near South Side,67.06666666666668,28.179365079365077,27.873809523809523,2.4597378538323227,12.304761904761904,21.0,orange
Andersonville,North Center,21.33103448275862,11.382183908045977,15.93793103448276,1.9043688057216992,2.4344827586206894,29.0,green
Andersonville,North Park,31.233333333333334,13.95,17.27,2.2389486260454006,3.2,1.0,yellow
Andersonville,Norwood Park,55.21666666666667,28.25,27.986666666666668,1.9633982932665912,6.5,3.0,green
Andersonville,O'Hare,80.5421848013817,41.88879533678756,55.93453367875647,1.953336679856522,13.826683937823832,772.0,green
Andersonville,Old Town,44.95,17.71666666666667,23.48,2.58926725407144,6.75,2.0,orange
Andersonville,River North,49.33408239700374,25.11348314606741,26.746179775280897,2.0781534021900825,7.889887640449437,89.0,yellow
Andersonville,Rogers Park,23.576287878787888,9.365530303030303,13.001363636363637,2.5599233403288264,2.191818181818182,220.0,orange
Andersonville,Sheffield & DePaul,32.6,21.416666666666668,25.8925,1.5263284460897193,5.824999999999999,4.0,green
Andersonville,South Shore,91.28333333333333,45.983333333333334,35.076153846153844,1.985263471677765,17.284615384615382,13.0,green
Andersonville,Streeterville,47.880054644808745,18.243715846994537,23.55967213114754,2.695191340479109,7.391803278688524,61.0,orange
Andersonville,Ukrainian Village,71.11666666666666,22.233333333333334,27.706666666666667,3.2164982799668764,6.066666666666666,3.0,red
Andersonville,Uptown,19.884643040575245,7.223754494093477,10.831771956856702,2.8370788025683713,1.4291217257318953,649.0,red
Andersonville,West Loop,59.47280701754385,32.20526315789474,27.667368421052636,1.912000943111255,8.773684210526316,19.0,green
