day_type,start_hour,Pickup Centroid Latitude,Pickup Centroid Longitude,Dropoff Centroid Latitude,Dropoff Centroid Longitude,group_n,group_id,representative_year,representative_month,representative_day
1,22,41.93,-87.724,41.885,-87.657,15,3667480,2026,04,25
1,22,41.881,-87.633,41.922,-87.634,113,3639314,2026,04,25
0,2,41.851,-87.635,41.892,-87.629,141,279285,2026,04,26
2,13,41.885,-87.621,41.786,-87.751,482,4536875,2026,04,22
2,20,41.77,-87.574,41.792,-87.611,1,4861539,2026,04,22
0,22,41.859,-87.617,41.774,-87.681,23,2076710,2026,04,22
0,14,41.769,-87.649,41.769,-87.649,53,986442,2026,04,22
1,15,41.9,-87.665,41.877,-87.622,15,3135259,2026,04,25
0,15,41.893,-87.638,41.871,-87.622,149,1158688,2026,04,22
0,23,41.885,-87.643,41.881,-87.633,1559,2247835,2026,04,26
1,7,41.885,-87.657,41.928,-87.705,106,2910152,2026,04,22
0,21,41.907,-87.685,41.885,-87.657,62,1959219,2026,04,22
2,10,41.892,-87.629,41.979,-87.903,323,4492230,2026,04,25
2,3,41.885,-87.621,41.899,-87.626,248,4096532,2026,04,22
0,12,41.891,-87.619,41.881,-87.633,2704,815168,2026,04,25
0,16,41.938,-87.647,41.929,-87.661,5,1307030,2026,04,22
0,2,41.885,-87.621,41.849,-87.624,702,294727,2026,04,26
0,18,41.893,-87.638,41.892,-87.613,257,1523539,2026,04,26
0,22,41.929,-87.712,41.892,-87.629,43,2130649,2026,04,22
0,18,41.847,-87.664,41.827,-87.68,1,1498960,2026,04,26
2,2,41.922,-87.651,41.936,-87.652,69,4029775,2026,04,22
0,17,41.879,-87.643,41.946,-87.647,76,1390001,2026,04,22
0,13,41.827,-87.61,41.87,-87.675,50,891186,2026,04,25
0,1,41.892,-87.632,41.943,-87.647,271,184456,2026,04,22
0,0,41.945,-87.691,41.885,-87.657,79,102657,2026,04,22
0,0,41.929,-87.685,42.016,-87.68,7,88937,2026,04,22
0,0,41.958,-87.66,41.958,-87.66,58,112124,2026,04,22
0,19,41.877,-87.713,41.9,-87.632,1,1642636,2026,04,25
0,7,41.851,-87.635,41.762,-87.649,1,672414,2026,04,26
0,6,41.922,-87.651,41.943,-87.647,17,654985,2026,04,26
0,22,41.95,-87.644,41.893,-87.638,87,2151121,2026,04,22
0,0,41.797,-87.582,41.842,-87.656,1,22770,2026,04,22
1,3,41.945,-87.669,41.922,-87.664,12,2672397,2026,04,22
2,23,41.881,-87.633,41.899,-87.626,223,5058848,2026,04,26
0,20,41.898,-87.621,41.922,-87.656,46,1800139,2026,04,22
0,14,41.962,-87.645,41.945,-87.691,16,1075659,2026,04,22
0,5,41.893,-87.638,41.891,-87.619,307,592853,2026,04,22
2,1,41.929,-87.661,41.885,-87.643,23,3943149,2026,04,22
0,21,41.881,-87.633,41.979,-87.903,9515,1937054,2026,04,22
1,2,41.868,-87.643,41.922,-87.634,6,2544151,2026,04,22
1,6,41.929,-87.651,41.935,-87.693,7,2881498,2026,04,22
0,4,41.979,-87.903,41.755,-87.62,2,558469,2026,04,22
