group_id,walkDist,walkTime,transitDist,transitTime,totalDist,totalTime,modes
3667480,1072,930,8870,1729,9942,3087s,"{'WALK', 'BUS'}"
3639314,777,651,4793,1524,5570,2185s,"{'WALK', 'BUS'}"
279285,737,637,4288,540,5025,1177s,"{'WALK', 'SUBWAY'}"
4536875,1253,1112,19151,1825,20404,3179s,"{'WALK', 'BUS', 'SUBWAY'}"
4861539,1054,900,6261,1385,7315,2698s,"{'WALK', 'BUS'}"
2076710,1069,1025,14805,2157,15874,4018s,"{'WALK', 'BUS', 'SUBWAY'}"
986442,,,,,,,
3135259,1324,1316,4723,600,6047,1922s,"{'WALK', 'SUBWAY'}"
1158688,803,679,3242,1086,4045,2318s,"{'WALK', 'BUS'}"
2247835,550,464,1209,340,1759,806s,"{'WALK', 'BUS'}"
2910152,2049,1720,6689,720,8738,2441s,"{'WALK', 'SUBWAY'}"
1959219,790,733,5230,1317,6020,2316s,"{'WALK', 'BUS'}"
4492230,1527,1393,30433,3120,31960,4744s,"{'WALK', 'SUBWAY'}"
4096532,648,520,1476,501,2124,1021s,"{'WALK', 'BUS'}"
815168,753,679,1884,545,2637,1224s,"{'WALK', 'BUS'}"
1307030,1198,1010,983,273,2181,1283s,"{'WALK', 'BUS'}"
294727,239,219,5031,1320,5270,1565s,"{'WALK', 'BUS'}"
1523539,678,596,2408,572,3086,1169s,"{'WALK', 'BUS'}"
2130649,896,787,9445,1050,10341,2074s,"{'WALK', 'SUBWAY'}"
1498960,1010,882,3562,614,4572,1818s,"{'WALK', 'BUS'}"
4029775,548,480,1672,388,2220,895s,"{'WALK', 'BUS'}"
1390001,801,672,8611,2386,9412,3065s,"{'WALK', 'BUS'}"
891186,415,369,10151,2267,10566,2958s,"{'WALK', 'BUS'}"
184456,559,469,6067,1379,6626,1860s,"{'WALK', 'BUS'}"
102657,1223,1056,8243,1697,9466,3056s,"{'WALK', 'BUS'}"
88937,1725,1625,14228,1654,15953,3494s,"{'WALK', 'BUS', 'SUBWAY'}"
112124,,,,,,,
1642636,277,226,10242,2676,10519,3346s,"{'WALK', 'BUS'}"
672414,1314,1125,14475,1423,15789,5337s,"{'WALK', 'BUS', 'SUBWAY'}"
654985,540,459,2238,529,2778,1005s,"{'WALK', 'BUS'}"
2151121,519,463,7425,1533,7944,2304s,"{'WALK', 'BUS'}"
22770,796,722,15749,2466,16545,3639s,"{'WALK', 'BUS'}"
2672397,687,588,2466,449,3153,1037s,"{'WALK', 'BUS'}"
5058848,534,470,2139,786,2673,1256s,"{'WALK', 'BUS'}"
1800139,1492,1325,4522,540,6014,1873s,"{'WALK', 'SUBWAY'}"
1075659,921,778,5149,1298,6070,2560s,"{'WALK', 'BUS'}"
592853,236,203,2554,582,2790,786s,"{'WALK', 'BUS'}"
3943149,931,816,5700,1118,6631,2503s,"{'WALK', 'BUS'}"
1937054,1733,1554,28487,2820,30220,4375s,"{'WALK', 'SUBWAY'}"
2544151,833,733,7629,1569,8462,3001s,"{'WALK', 'BUS', 'SUBWAY'}"
2881498,812,707,5038,1138,5850,2744s,"{'WALK', 'BUS'}"
558469,2343,2031,43509,3900,45852,6550s,"{'WALK', 'SUBWAY'}"
1947291,412,375,842,246,1254,623s,"{'WALK', 'BUS'}"
4134812,524,443,5215,435,5739,885s,"{'WALK', 'BUS'}"
1954123,631,597,10298,2239,10929,3614s,"{'WALK', 'BUS', 'SUBWAY'}"
3606433,391,322,4969,1334,5360,1670s,"{'WALK', 'BUS'}"
355830,1860,1549,24607,2743,26467,4830s,"{'WALK', 'BUS', 'SUBWAY'}"
49689,525,465,5689,1448,6214,2240s,"{'WALK', 'BUS'}"
591614,1105,950,0,0,1105,950s,{'WALK'}
2099908,160,120,1449,569,1609,689s,"{'WALK', 'BUS'}"
1150837,752,648,586,427,1338,1126s,"{'WALK', 'BUS'}"
505047,757,879,10337,1470,11094,2660s,"{'WALK', 'SUBWAY'}"
4183450,866,812,4191,780,5057,1593s,"{'WALK', 'SUBWAY'}"
3742141,830,828,12399,1773,13229,2922s,"{'WALK', 'BUS', 'SUBWAY'}"
1142641,964,837,18222,1922,19186,2985s,"{'WALK', 'BUS'}"
4946338,575,483,2539,719,3114,1225s,"{'WALK', 'BUS'}"
1114066,1105,907,2437,411,3542,1327s,"{'WALK', 'BUS'}"
4499248,909,922,32777,3745,33686,5785s,"{'WALK', 'BUS', 'SUBWAY'}"
1885033,794,745,22822,3457,23616,5310s,"{'WALK', 'BUS', 'SUBWAY'}"
1594301,887,724,6712,1373,7599,2439s,"{'WALK', 'BUS'}"
3576482,737,655,5304,1503,6041,2158s,"{'WALK', 'BUS'}"
3479306,639,540,1644,376,2283,949s,"{'WALK', 'BUS'}"
1988814,1605,1466,16024,1770,17629,3563s,"{'WALK', 'SUBWAY'}"
4769366,1146,1090,7332,1632,8478,3146s,"{'WALK', 'BUS', 'SUBWAY'}"
2556828,631,555,13527,2121,14158,3017s,"{'WALK', 'BUS'}"
1282749,754,633,3126,936,3880,1569s,"{'WALK', 'BUS'}"
1393028,305,280,2726,720,3031,1001s,"{'WALK', 'BUS'}"
2369970,746,773,1848,270,2594,1043s,"{'WALK', 'SUBWAY'}"
4101596,815,725,9736,1703,10551,2674s,"{'WALK', 'BUS'}"
604866,1102,925,5375,911,6477,1865s,"{'WALK', 'BUS'}"
298704,704,711,7573,930,8277,1641s,"{'WALK', 'SUBWAY'}"
5012401,721,757,6198,785,6919,1858s,"{'WALK', 'BUS', 'SUBWAY'}"
3936514,1120,940,1980,437,3100,1378s,"{'WALK', 'BUS'}"
2280660,871,771,6742,1437,7613,2522s,"{'WALK', 'BUS'}"
5071278,230,207,2254,685,2484,892s,"{'WALK', 'BUS'}"
2112092,1010,844,1034,300,2044,1157s,"{'WALK', 'BUS'}"
3041168,475,433,4839,926,5314,1360s,"{'WALK', 'BUS'}"
