day_type,start_hour,Pickup Centroid Latitude,Pickup Centroid Longitude,Dropoff Centroid Latitude,Dropoff Centroid Longitude,group_n,group_id,representative_year,representative_month,representative_day
0,14,41.879,-87.672,41.879,-87.643,139,1025708,2026,04,22
0,0,41.885,-87.657,41.915,-87.71,25,53270,2026,04,22
1,3,41.989,-87.657,41.973,-87.664,9,2688815,2026,04,22
0,12,41.907,-87.665,41.905,-87.65,94,823486,2026,04,25
0,13,41.898,-87.654,41.936,-87.652,29,916739,2026,04,22
1,21,41.744,-87.62,41.744,-87.62,9,3529508,2026,04,26
0,4,41.871,-87.689,41.893,-87.638,2,498009,2026,04,22
0,0,41.871,-87.631,41.885,-87.643,288,44772,2026,04,22
2,5,41.9,-87.665,41.902,-87.638,8,4280115,2026,04,26
0,14,41.77,-87.581,41.703,-87.615,11,987723,2026,04,22
1,2,41.885,-87.643,41.891,-87.619,224,2551050,2026,04,22
1,19,41.905,-87.65,41.879,-87.672,7,3407063,2026,04,22
0,23,41.868,-87.643,41.849,-87.624,158,2235132,2026,04,26
0,0,41.895,-87.62,41.871,-87.622,207,62323,2026,04,22
2,4,41.922,-87.651,41.912,-87.684,15,4209664,2026,04,22
2,21,41.909,-87.631,41.891,-87.619,30,4949025,2026,04,22
0,0,41.898,-87.654,41.9,-87.629,123,63128,2026,04,22
0,0,41.93,-87.724,41.859,-87.617,6,91131,2026,04,22
0,23,41.979,-87.903,41.885,-87.621,4866,2324556,2026,04,26
0,17,41.906,-87.675,41.912,-87.684,18,1407158,2026,04,26
0,20,41.879,-87.643,41.893,-87.626,1283,1786410,2026,04,22
1,14,41.87,-87.675,41.859,-87.617,35,3073399,2026,04,25
1,22,41.943,-87.657,41.892,-87.613,16,3674823,2026,04,25
0,15,41.973,-87.679,41.895,-87.62,53,1204213,2026,04,22
1,19,41.742,-87.63,41.762,-87.63,5,3372645,2026,04,22
0,18,41.885,-87.657,41.953,-87.661,9,1517246,2026,04,26
0,0,41.885,-87.643,41.885,-87.643,254,53782,2026,04,22
0,18,41.885,-87.621,41.979,-87.903,6770,1518416,2026,04,26
1,3,41.786,-87.751,41.891,-87.619,165,2615381,2026,04,22
1,13,41.936,-87.671,41.943,-87.641,2,3048199,2026,04,26
1,3,41.936,-87.652,41.922,-87.634,26,2667106,2026,04,22
0,13,41.871,-87.622,41.79,-87.601,454,903228,2026,04,25
0,4,41.893,-87.638,41.92,-87.68,47,511432,2026,04,22
1,6,41.943,-87.652,41.877,-87.681,3,2887972,2026,04,22
0,0,41.902,-87.638,41.908,-87.671,26,68677,2026,04,22
2,2,41.899,-87.689,41.893,-87.638,15,4014723,2026,04,22
0,21,41.879,-87.643,41.893,-87.626,1291,1936086,2026,04,22
2,7,41.893,-87.638,41.931,-87.642,35,4404637,2026,04,25
0,18,41.921,-87.71,41.922,-87.664,11,1541166,2026,04,26
0,18,41.868,-87.643,41.874,-87.662,55,1506337,2026,04,26
0,19,41.943,-87.731,41.936,-87.652,8,1690330,2026,04,25
0,2,41.892,-87.629,41.936,-87.656,86,299195,2026,04,26
2,17,41.728,-87.596,41.907,-87.665,1,4685844,2026,04,22
2,3,41.943,-87.641,41.847,-87.664,2,4134770,2026,04,22
0,17,41.893,-87.626,41.877,-87.622,842,1399043,2026,04,26
0,20,41.935,-87.744,41.885,-87.684,1,1827686,2026,04,22
2,1,41.898,-87.654,41.9,-87.632,37,3922387,2026,04,22
0,3,41.885,-87.657,41.893,-87.626,3618,402809,2026,04,22
1,20,41.945,-87.662,41.893,-87.626,17,3506764,2026,04,26
1,17,41.742,-87.63,41.742,-87.63,64,3233736,2026,04,22
1,23,41.943,-87.641,41.916,-87.675,8,3767428,2026,04,22
2,2,41.893,-87.653,41.893,-87.626,113,4011444,2026,04,22
0,16,41.864,-87.693,41.854,-87.694,8,1261995,2026,04,22
1,5,41.922,-87.656,41.972,-87.686,3,2816658,2026,04,22
2,15,41.881,-87.633,41.871,-87.631,50,4600905,2026,04,22
