group_id,walkDist,walkTime,transitDist,transitTime,totalDist,totalTime,modes
1025708,401,355,2274,619,2675,974s,"{'BUS', 'WALK'}"
53270,946,820,6566,1279,7512,2475s,"{'BUS', 'WALK'}"
2688815,888,913,1876,240,2764,1153s,"{'SUBWAY', 'WALK'}"
823486,805,680,1529,290,2334,971s,"{'BUS', 'WALK'}"
916739,677,575,5354,1309,6031,1903s,"{'BUS', 'WALK'}"
3529508,,,,,,,
498009,424,377,7798,1447,8222,2040s,"{'BUS', 'WALK'}"
44772,1072,1024,1806,390,2878,1414s,"{'SUBWAY', 'WALK'}"
4280115,1662,1430,4043,906,5705,2336s,"{'BUS', 'WALK'}"
987723,753,694,9719,1628,10472,2782s,"{'BUS', 'WALK'}"
2551050,305,280,2726,637,3031,918s,"{'BUS', 'WALK'}"
3407063,781,679,4369,1268,5150,2628s,"{'BUS', 'WALK'}"
2235132,350,344,3539,861,3889,1581s,"{'BUS', 'WALK'}"
62323,816,690,2659,1047,3475,1737s,"{'BUS', 'WALK'}"
4209664,505,424,4278,895,4783,1808s,"{'BUS', 'WALK'}"
4949025,243,219,3155,1111,3398,1542s,"{'BUS', 'WALK'}"
63128,867,737,3328,892,4195,1629s,"{'BUS', 'WALK'}"
91131,2126,1784,11782,1754,13908,3989s,"{'SUBWAY', 'BUS', 'WALK'}"
2324556,1570,1306,29115,2811,30685,4354s,"{'SUBWAY', 'BUS', 'WALK'}"
1407158,656,553,1058,318,1714,873s,"{'BUS', 'WALK'}"
1786410,398,350,3015,823,3413,1174s,"{'BUS', 'WALK'}"
3073399,1369,1129,5512,1312,6881,2465s,"{'BUS', 'WALK'}"
3674823,928,847,8405,1550,9333,2740s,"{'SUBWAY', 'BUS', 'WALK'}"
1204213,1346,1167,11781,1371,13127,2893s,"{'BUS', 'WALK'}"
3372645,274,236,2721,461,2995,719s,"{'BUS', 'WALK'}"
1517246,750,751,9845,2482,10595,3506s,"{'SUBWAY', 'BUS', 'WALK'}"
53782,,,,,,,
1518416,1549,1331,29126,2909,30675,4531s,"{'SUBWAY', 'BUS', 'WALK'}"
2615381,762,757,21360,2428,22122,4357s,"{'SUBWAY', 'BUS', 'WALK'}"
3048199,843,708,2719,536,3562,1254s,"{'BUS', 'WALK'}"
2667106,1203,1004,1776,283,2979,1288s,"{'BUS', 'WALK'}"
903228,531,429,12385,1484,12916,2460s,"{'BUS', 'WALK'}"
511432,623,554,6663,1466,7286,2725s,"{'BUS', 'WALK'}"
2887972,1415,1163,11590,1858,13005,3344s,"{'SUBWAY', 'BUS', 'WALK'}"
68677,1004,860,2428,726,3432,1586s,"{'BUS', 'WALK'}"
4014723,542,469,5312,1205,5854,1675s,"{'BUS', 'WALK'}"
1936086,398,350,3015,940,3413,1291s,"{'BUS', 'WALK'}"
4404637,1660,1543,5088,660,6748,2206s,"{'SUBWAY', 'WALK'}"
1541166,895,728,4013,1123,4908,1880s,"{'BUS', 'WALK'}"
1506337,1224,1035,1258,223,2482,1266s,"{'BUS', 'WALK'}"
1690330,800,825,7523,1609,8323,2694s,"{'SUBWAY', 'BUS', 'WALK'}"
299195,728,734,6709,840,7437,1574s,"{'SUBWAY', 'WALK'}"
4685844,1182,1120,25341,2631,26523,4323s,"{'SUBWAY', 'BUS', 'WALK'}"
4134770,905,762,13406,2379,14311,3724s,"{'BUS', 'WALK'}"
1399043,500,455,1832,665,2332,1122s,"{'BUS', 'WALK'}"
1827686,957,841,8142,1888,9099,3018s,"{'BUS', 'WALK'}"
