day_type,start_hour,Pickup Centroid Latitude,Pickup Centroid Longitude,Dropoff Centroid Latitude,Dropoff Centroid Longitude,group_n,group_id,representative_year,representative_month,representative_day,walkDist,walkTime,transitDist,transitTime,totalDist,totalTime,modes
0,14,41.879,-87.672,41.879,-87.643,139,1025708,2026,4,22,401.0,355.0,2274.0,619.0,2675.0,974s,"{'BUS', 'WALK'}"
0,0,41.885,-87.657,41.915,-87.71,25,53270,2026,4,22,946.0,820.0,6566.0,1279.0,7512.0,2475s,"{'BUS', 'WALK'}"
1,3,41.989,-87.657,41.973,-87.664,9,2688815,2026,4,22,888.0,913.0,1876.0,240.0,2764.0,1153s,"{'SUBWAY', 'WALK'}"
0,12,41.907,-87.665,41.905,-87.65,94,823486,2026,4,25,805.0,680.0,1529.0,290.0,2334.0,971s,"{'BUS', 'WALK'}"
0,13,41.898,-87.654,41.936,-87.652,29,916739,2026,4,22,677.0,575.0,5354.0,1309.0,6031.0,1903s,"{'BUS', 'WALK'}"
1,21,41.744,-87.62,41.744,-87.62,9,3529508,2026,4,26,,,,,,,
0,4,41.871,-87.689,41.893,-87.638,2,498009,2026,4,22,424.0,377.0,7798.0,1447.0,8222.0,2040s,"{'BUS', 'WALK'}"
0,0,41.871,-87.631,41.885,-87.643,288,44772,2026,4,22,1072.0,1024.0,1806.0,390.0,2878.0,1414s,"{'SUBWAY', 'WALK'}"
2,5,41.9,-87.665,41.902,-87.638,8,4280115,2026,4,26,1662.0,1430.0,4043.0,906.0,5705.0,2336s,"{'BUS', 'WALK'}"
0,14,41.77,-87.581,41.703,-87.615,11,987723,2026,4,22,753.0,694.0,9719.0,1628.0,10472.0,2782s,"{'BUS', 'WALK'}"
1,2,41.885,-87.643,41.891,-87.619,224,2551050,2026,4,22,305.0,280.0,2726.0,637.0,3031.0,918s,"{'BUS', 'WALK'}"
1,19,41.905,-87.65,41.879,-87.672,7,3407063,2026,4,22,781.0,679.0,4369.0,1268.0,5150.0,2628s,"{'BUS', 'WALK'}"
0,23,41.868,-87.643,41.849,-87.624,158,2235132,2026,4,26,350.0,344.0,3539.0,861.0,3889.0,1581s,"{'BUS', 'WALK'}"
0,0,41.895,-87.62,41.871,-87.622,207,62323,2026,4,22,816.0,690.0,2659.0,1047.0,3475.0,1737s,"{'BUS', 'WALK'}"
2,4,41.922,-87.651,41.912,-87.684,15,4209664,2026,4,22,505.0,424.0,4278.0,895.0,4783.0,1808s,"{'BUS', 'WALK'}"
2,21,41.909,-87.631,41.891,-87.619,30,4949025,2026,4,22,243.0,219.0,3155.0,1111.0,3398.0,1542s,"{'BUS', 'WALK'}"
0,0,41.898,-87.654,41.9,-87.629,123,63128,2026,4,22,867.0,737.0,3328.0,892.0,4195.0,1629s,"{'BUS', 'WALK'}"
