day_type,start_hour,Pickup Centroid Latitude,Pickup Centroid Longitude,Dropoff Centroid Latitude,Dropoff Centroid Longitude,group_n,group_id,representative_year,representative_month,representative_day
0,10,41.959,-87.713,41.979,-87.903,31,735705,2026,04,26
0,3,41.868,-87.643,41.859,-87.617,197,393855,2026,04,22
0,16,41.922,-87.634,42.016,-87.667,1,1297561,2026,04,22
0,20,41.885,-87.621,41.979,-87.903,7099,1791102,2026,04,22
2,15,41.728,-87.559,41.742,-87.579,1,4586645,2026,04,22
0,11,41.885,-87.621,41.979,-87.903,6703,756533,2026,04,26
0,19,41.79,-87.601,41.769,-87.638,23,1612158,2026,04,25
0,22,41.801,-87.585,41.769,-87.566,19,2057878,2026,04,22
0,20,41.938,-87.647,41.951,-87.667,5,1832094,2026,04,22
0,13,41.893,-87.626,41.983,-87.877,68,915488,2026,04,22
1,21,41.922,-87.634,41.942,-87.666,12,3577083,2026,04,26
1,15,41.848,-87.691,41.847,-87.664,2,3121752,2026,04,25
0,20,41.798,-87.59,41.813,-87.604,37,1754436,2026,04,22
1,0,41.879,-87.657,41.922,-87.656,7,2369118,2026,04,25
1,0,41.783,-87.599,41.798,-87.599,92,2348982,2026,04,25
1,12,41.936,-87.676,41.786,-87.751,2,3018012,2026,04,26
1,20,41.885,-87.657,41.899,-87.626,374,3474852,2026,04,22
0,22,42.002,-87.674,41.893,-87.626,15,2177493,2026,04,22
0,1,41.907,-87.636,41.928,-87.705,27,198571,2026,04,22
0,22,41.885,-87.621,41.946,-87.647,132,2094417,2026,04,22
2,20,41.801,-87.585,41.903,-87.626,4,4865410,2026,04,22
1,2,41.885,-87.621,41.898,-87.621,262,2551558,2026,04,22
2,17,41.859,-87.617,41.877,-87.622,187,4698590,2026,04,22
1,4,41.973,-87.664,41.938,-87.639,9,2767754,2026,04,22
1,0,41.879,-87.657,41.885,-87.643,191,2369027,2026,04,25
1,20,41.92,-87.68,41.936,-87.666,9,3492381,2026,04,22
0,11,41.906,-87.631,41.943,-87.643,2,761106,2026,04,26
0,13,41.881,-87.633,41.777,-87.611,20,907875,2026,04,25
0,8,41.979,-87.903,41.908,-87.627,12,708024,2026,04,26
0,0,41.892,-87.632,41.929,-87.651,271,58749,2026,04,22
0,21,41.874,-87.662,41.868,-87.643,95,1930989,2026,04,22
2,20,41.903,-87.626,41.905,-87.65,17,4885211,2026,04,22
0,23,41.809,-87.614,41.786,-87.751,7,2216258,2026,04,26
0,6,41.929,-87.712,41.935,-87.643,2,656437,2026,04,26
2,4,41.893,-87.626,41.989,-87.657,13,4192077,2026,04,22
1,22,41.919,-87.671,41.921,-87.7,22,3659655,2026,04,25
0,20,41.758,-87.563,41.758,-87.563,120,1737395,2026,04,22
0,0,41.79,-87.601,41.802,-87.602,870,20629,2026,04,22
1,7,41.885,-87.657,41.9,-87.665,98,2910071,2026,04,22
1,19,41.892,-87.613,41.885,-87.621,338,3401118,2026,04,22
1,20,41.79,-87.601,41.756,-87.552,3,3456450,2026,04,22
2,4,41.895,-87.62,41.906,-87.631,33,4192392,2026,04,22
1,4,41.9,-87.68,41.907,-87.685,2,2727627,2026,04,22
2,19,41.808,-87.699,41.786,-87.751,1,4806874,2026,04,22
2,0,41.915,-87.632,41.943,-87.652,81,3841607,2026,04,22
2,19,41.929,-87.685,41.936,-87.681,5,4834272,2026,04,22
0,2,41.859,-87.617,41.881,-87.633,903,282142,2026,04,26
0,1,41.95,-87.644,41.906,-87.631,44,229575,2026,04,22
1,3,41.898,-87.654,41.967,-87.671,9,2642503,2026,04,22
0,0,41.898,-87.621,41.979,-87.903,279,64005,2026,04,22
0,23,41.916,-87.675,41.892,-87.632,129,2276342,2026,04,26
0,22,41.95,-87.713,41.906,-87.734,5,2150202,2026,04,22
0,22,41.994,-87.705,41.934,-87.712,1,2174680,2026,04,22
2,9,41.885,-87.657,41.895,-87.62,55,4472822,2026,04,25
2,4,41.861,-87.631,41.893,-87.638,11,4176709,2026,04,22
0,13,41.979,-87.903,41.9,-87.632,161,957854,2026,04,22
0,1,41.798,-87.59,41.783,-87.604,250,153648,2026,04,22
2,1,41.898,-87.77,41.783,-87.686,2,3922162,2026,04,22
0,22,41.849,-87.624,41.893,-87.626,1532,2072946,2026,04,22
2,3,41.893,-87.638,41.907,-87.636,297,4101677,2026,04,22
0,0,41.881,-87.633,41.871,-87.631,1413,50936,2026,04,22
0,22,41.957,-87.723,41.945,-87.691,13,2154518,2026,04,22
0,20,41.943,-87.701,41.871,-87.622,11,1834909,2026,04,22
0,15,41.798,-87.594,41.783,-87.599,19,1123361,2026,04,22
0,17,41.848,-87.703,41.879,-87.657,7,1376071,2026,04,22
0,23,41.783,-87.599,41.798,-87.59,816,2205538,2026,04,26
1,18,41.783,-87.608,41.762,-87.59,2,3307971,2026,04,22
2,3,41.885,-87.657,41.928,-87.7,93,4095646,2026,04,22
0,19,41.971,-87.706,41.929,-87.685,4,1705815,2026,04,25
0,5,41.891,-87.619,41.885,-87.621,336,589626,2026,04,22
0,13,41.893,-87.626,41.979,-87.903,4400,915480,2026,04,22
0,23,41.929,-87.656,41.946,-87.654,53,2287735,2026,04,26
0,0,41.929,-87.651,41.943,-87.643,37,90340,2026,04,22
0,17,41.915,-87.71,41.879,-87.672,3,1412142,2026,04,26
0,20,41.856,-87.66,41.847,-87.664,50,1772641,2026,04,22
0,23,41.907,-87.641,41.915,-87.654,56,2268843,2026,04,26
2,20,41.938,-87.647,41.965,-87.663,6,4899100,2026,04,22
0,21,41.967,-87.694,41.985,-87.658,1,2004559,2026,04,22
2,18,41.862,-87.732,41.761,-87.64,1,4754881,2026,04,22
0,13,41.869,-87.664,41.892,-87.613,3,901606,2026,04,25
1,1,41.879,-87.643,41.891,-87.619,216,2461347,2026,04,25
0,13,41.885,-87.621,41.881,-87.633,7595,910750,2026,04,25
0,20,41.786,-87.751,41.881,-87.633,1517,1749016,2026,04,22
0,16,41.979,-87.903,41.949,-87.657,198,1325853,2026,04,22
0,15,41.929,-87.685,41.92,-87.68,12,1180758,2026,04,22
0,14,41.726,-87.649,41.783,-87.594,1,972715,2026,04,22
1,6,41.885,-87.657,41.885,-87.657,1276,2860000,2026,04,22
2,3,41.845,-87.728,41.848,-87.712,1,4082958,2026,04,22
2,1,41.938,-87.639,41.893,-87.638,47,3949761,2026,04,22
2,18,41.879,-87.643,41.863,-87.673,26,4758634,2026,04,22
0,4,41.885,-87.657,41.893,-87.626,2182,504873,2026,04,22
0,17,41.756,-87.552,41.761,-87.686,1,1349517,2026,04,22
0,21,41.938,-87.647,41.943,-87.652,18,1984709,2026,04,22
0,0,41.929,-87.651,41.985,-87.654,5,90421,2026,04,22
0,4,41.921,-87.7,41.916,-87.684,8,528151,2026,04,22
0,16,41.9,-87.632,41.893,-87.638,271,1284062,2026,04,22
0,0,41.79,-87.601,41.885,-87.643,122,20736,2026,04,22
1,20,41.973,-87.694,41.906,-87.675,14,3516850,2026,04,26
2,21,41.908,-87.671,41.943,-87.718,4,4948727,2026,04,22
1,19,41.879,-87.643,41.899,-87.626,143,3395873,2026,04,22
0,11,42.002,-87.674,41.798,-87.59,35,776489,2026,04,25
2,5,41.885,-87.657,41.922,-87.646,285,4269965,2026,04,26
2,22,41.879,-87.672,41.871,-87.631,14,4996908,2026,04,26
0,20,41.885,-87.621,41.885,-87.657,1886,1790833,2026,04,22
0,20,41.849,-87.624,41.979,-87.903,2746,1770383,2026,04,22
2,5,41.892,-87.629,41.879,-87.657,97,4274296,2026,04,26
0,3,41.943,-87.652,41.973,-87.65,107,445618,2026,04,22
1,19,41.879,-87.672,41.859,-87.617,31,3395185,2026,04,22
2,19,41.929,-87.685,41.907,-87.636,8,4834208,2026,04,22
0,21,41.87,-87.675,41.787,-87.622,37,1928017,2026,04,22
0,18,41.906,-87.734,41.943,-87.701,20,1532143,2026,04,26
