group_id,walkDist,walkTime,transitDist,transitTime,totalDist,totalTime,modes
735705,1520,1334,20774,2038,22294,3725s,"{'SUBWAY', 'WALK', 'BUS'}"
393855,1326,1095,2326,607,3652,1702s,"{'WALK', 'BUS'}"
1297561,477,538,11897,1921,12374,2955s,"{'SUBWAY', 'WALK', 'BUS'}"
1791102,1549,1331,29126,2966,30675,4545s,"{'SUBWAY', 'WALK', 'BUS'}"
4586645,1174,1033,2609,340,3783,1373s,"{'WALK', 'BUS'}"
756533,2224,1884,28192,2730,30416,4615s,"{'SUBWAY', 'WALK'}"
1612158,684,600,4913,1148,5597,2240s,"{'WALK', 'BUS'}"
2057878,102,86,5316,1596,5418,1687s,"{'WALK', 'BUS'}"
1832094,937,801,1817,510,2754,1311s,"{'WALK', 'BUS'}"
915488,2505,2171,27513,2981,30018,5741s,"{'SUBWAY', 'WALK', 'BUS'}"
3577083,482,401,4434,1189,4916,2314s,"{'WALK', 'BUS'}"
3121752,1135,944,2623,517,3758,1459s,"{'WALK', 'BUS'}"
1754436,737,634,3111,696,3848,1650s,"{'WALK', 'BUS'}"
2369118,944,819,6465,1912,7409,2943s,"{'WALK', 'BUS'}"
2348982,1367,1134,1845,439,3212,1604s,"{'WALK', 'BUS'}"
3018012,1317,1221,28977,3014,30294,5432s,"{'SUBWAY', 'WALK', 'BUS'}"
3474852,660,607,4590,1593,5250,2463s,"{'WALK', 'BUS'}"
2177493,1519,1449,13792,1860,15311,3309s,"{'SUBWAY', 'WALK'}"
198571,1404,1222,7477,1445,8881,2945s,"{'SUBWAY', 'WALK', 'BUS'}"
2094417,760,650,8052,1372,8812,2046s,"{'WALK', 'BUS'}"
4865410,762,676,11763,1805,12525,2983s,"{'HEAVY_RAIL', 'WALK', 'BUS'}"
2551558,535,411,2234,812,2769,1223s,"{'WALK', 'BUS'}"
4698590,796,675,2647,360,3443,1035s,"{'HEAVY_RAIL', 'WALK'}"
2767754,951,786,4235,889,5186,1723s,"{'WALK', 'BUS'}"
2369027,528,478,1354,356,1882,834s,"{'WALK', 'BUS'}"
3492381,736,631,3255,833,3991,1688s,"{'WALK', 'BUS'}"
761106,230,185,4445,756,4675,947s,"{'WALK', 'BUS'}"
907875,1090,1081,12855,1428,13945,3014s,"{'SUBWAY', 'WALK', 'BUS'}"
708024,2106,1785,26849,2767,28955,5187s,"{'SUBWAY', 'WALK', 'BUS'}"
58749,1125,1018,5080,630,6205,1648s,"{'SUBWAY', 'WALK'}"
1930989,818,690,1591,560,2409,1257s,"{'WALK', 'BUS'}"
4885211,830,711,1362,498,2192,1215s,"{'WALK', 'BUS'}"
2216258,524,432,18180,3106,18704,3959s,"{'WALK', 'BUS'}"
656437,2248,1898,5009,866,7257,2779s,"{'WALK', 'BUS'}"
4192077,432,393,11728,1238,12160,1632s,"{'WALK', 'BUS'}"
3659655,954,830,2816,788,3770,1660s,"{'WALK', 'BUS'}"
1737395,,,,,,,
20629,922,770,1426,232,2348,1007s,"{'WALK', 'BUS'}"
2910071,1125,949,1658,261,2783,1218s,"{'WALK', 'BUS'}"
3401118,401,336,1161,500,1562,895s,"{'WALK', 'BUS'}"
3456450,779,695,7908,1902,8687,2815s,"{'WALK', 'BUS'}"
4192392,846,713,1294,296,2140,1010s,"{'WALK', 'BUS'}"
2727627,904,740,830,160,1734,901s,"{'WALK', 'BUS'}"
4806874,441,353,9437,1850,9878,2594s,"{'WALK', 'BUS'}"
3841607,513,415,3285,872,3798,1293s,"{'WALK', 'BUS'}"
4834272,1200,1018,0,0,1200,1018s,{'WALK'}
282142,1320,1146,2587,709,3907,1856s,"{'WALK', 'BUS'}"
