group_id,walkDist,walkTime,transitDist,transitTime,totalDist,totalTime,modes
53756,825,731,2330,501,3155,1234s,"{'WALK', 'BUS'}"
4518794,2224,1884,28192,2730,30416,4615s,"{'SUBWAY', 'WALK'}"
177378,414,372,9390,2968,9804,3340s,"{'WALK', 'BUS'}"
2951464,1182,1089,1717,464,2899,1553s,"{'WALK', 'BUS'}"
1958335,162,142,1582,536,1744,706s,"{'WALK', 'BUS'}"
467164,668,565,3135,1015,3803,1633s,"{'WALK', 'BUS'}"
1773719,1674,1515,19142,1821,20816,3803s,"{'SUBWAY', 'HEAVY_RAIL', 'WALK', 'BUS'}"
3325016,1440,1390,4511,450,5951,1840s,"{'SUBWAY', 'WALK'}"
3949230,1244,1053,7044,1602,8288,3110s,"{'WALK', 'BUS'}"
1282783,323,290,976,183,1299,501s,"{'WALK', 'BUS'}"
205890,2121,1739,11782,1740,13903,3735s,"{'SUBWAY', 'WALK', 'BUS'}"
2800931,834,708,3408,824,4242,1532s,"{'WALK', 'BUS'}"
4307599,1312,1108,7224,1539,8536,3487s,"{'WALK', 'BUS'}"
1400007,689,576,15602,3013,16291,3589s,"{'WALK', 'BUS'}"
463718,2053,1724,24126,2070,26179,3794s,"{'SUBWAY', 'WALK'}"
935848,1186,1020,7430,1873,8616,3114s,"{'WALK', 'BUS'}"
122061,721,750,4135,717,4856,2057s,"{'SUBWAY', 'WALK', 'BUS'}"
2139066,871,755,1932,623,2803,1389s,"{'WALK', 'BUS'}"
55924,609,551,380,118,989,675s,"{'WALK', 'BUS'}"
2733889,578,479,4553,1035,5131,1517s,"{'WALK', 'BUS'}"
1991054,538,455,810,277,1348,732s,"{'WALK', 'BUS'}"
1194119,1381,1134,0,0,1381,1134s,{'WALK'}
1648565,927,832,1354,349,2281,1181s,"{'WALK', 'BUS'}"
83873,1188,1003,2894,762,4082,1765s,"{'WALK', 'BUS'}"
421065,1228,1128,3441,510,4669,1639s,"{'SUBWAY', 'WALK'}"
759979,1153,985,8131,1447,9284,2858s,"{'WALK', 'BUS'}"
898259,1779,1469,2481,663,4260,2133s,"{'WALK', 'BUS'}"
4403507,1863,1620,0,0,1863,1620s,{'WALK'}
2075051,1056,946,23517,3060,24573,4320s,"{'SUBWAY', 'WALK'}"
4696475,1040,862,2447,487,3487,1350s,"{'WALK', 'BUS'}"
1889147,644,536,7336,1418,7980,2687s,"{'WALK', 'BUS'}"
4528014,1739,1492,25057,3923,26796,6055s,"{'SUBWAY', 'WALK', 'BUS'}"
4320834,971,818,3787,893,4758,1712s,"{'WALK', 'BUS'}"
1722204,1452,1197,3618,534,5070,1742s,"{'WALK', 'BUS'}"
709815,771,658,12776,1800,13547,3461s,"{'WALK', 'BUS'}"
2324629,2161,1873,22971,1980,25132,3853s,"{'SUBWAY', 'WALK'}"
2554737,,,,,,,
2754122,1216,1086,1662,210,2878,1296s,"{'SUBWAY', 'WALK'}"
2417140,1415,1224,7547,1356,8962,3186s,"{'WALK', 'BUS'}"
1613647,1153,1067,11753,1990,12906,3320s,"{'WALK', 'BUS'}"
3518889,678,604,11696,2715,12374,3988s,"{'WALK', 'BUS'}"
1260593,836,704,825,190,1661,918s,"{'WALK', 'BUS'}"
691627,1980,1692,29242,2760,31222,4452s,"{'SUBWAY', 'WALK'}"
4018943,1107,922,3139,637,4246,1591s,"{'WALK', 'BUS'}"
2412473,705,595,4068,1035,4773,1631s,"{'WALK', 'BUS'}"
2641687,538,440,12060,2497,12598,3415s,"{'WALK', 'BUS'}"
2090372,580,493,3277,1140,3857,1633s,"{'WALK', 'BUS'}"
4101621,1066,935,1825,408,2891,1344s,"{'WALK', 'BUS'}"
226852,974,922,5977,690,6951,1614s,"{'SUBWAY', 'WALK'}"
4083407,1001,836,9959,1789,10960,2889s,"{'WALK', 'BUS'}"
1399279,618,574,12229,1525,12847,2319s,"{'WALK', 'BUS'}"
2816036,790,657,6070,1184,6860,3116s,"{'WALK', 'BUS'}"
914476,1391,1166,4143,956,5534,2123s,"{'WALK', 'BUS'}"
4816460,746,773,1848,270,2594,1043s,"{'SUBWAY', 'WALK'}"
421223,1373,1306,14258,2250,15631,4249s,"{'SUBWAY', 'WALK', 'BUS'}"
4355574,1208,1093,1657,240,2865,1335s,"{'SUBWAY', 'WALK'}"
736905,2227,1912,28190,2550,30417,4462s,"{'SUBWAY', 'WALK'}"
1976762,940,799,2537,640,3477,1455s,"{'WALK', 'BUS'}"
4129364,1488,1274,3150,653,4638,1937s,"{'WALK', 'BUS'}"
668962,1489,1382,6219,870,7708,2252s,"{'SUBWAY', 'WALK'}"
1503293,1529,1305,2703,630,4232,1936s,"{'WALK', 'BUS'}"
1151631,773,665,7316,1681,8089,2375s,"{'WALK', 'BUS'}"
847940,2079,1740,31295,3346,33374,5414s,"{'SUBWAY', 'WALK', 'BUS'}"
2498781,835,710,2750,677,3585,1387s,"{'WALK', 'BUS'}"
1361310,2199,1921,41028,4148,43227,6595s,"{'SUBWAY', 'WALK', 'BUS'}"
1278913,612,536,826,218,1438,756s,"{'WALK', 'BUS'}"
1268601,2187,1769,28843,2850,31030,4620s,"{'SUBWAY', 'WALK'}"
2105989,1136,1098,5873,1072,7009,2626s,"{'SUBWAY', 'WALK', 'BUS'}"
2918080,2207,1888,6328,810,8535,2699s,"{'SUBWAY', 'WALK'}"
843878,1782,1545,22912,2969,24694,5013s,"{'SUBWAY', 'WALK', 'BUS'}"
4353531,1088,1003,4211,510,5299,1513s,"{'SUBWAY', 'WALK'}"
2260372,1374,1128,2444,502,3818,1631s,"{'WALK', 'BUS'}"
1278472,920,827,0,0,920,827s,{'WALK'}
236981,1050,951,8941,1404,9991,2919s,"{'SUBWAY', 'WALK', 'BUS'}"
3203744,518,434,1630,377,2148,838s,"{'WALK', 'BUS'}"
4153166,515,576,11791,1500,12306,2078s,"{'SUBWAY', 'WALK'}"
4614755,1203,1062,1872,460,3075,1522s,"{'WALK', 'BUS'}"
2004338,534,445,3324,959,3858,1410s,"{'WALK', 'BUS'}"
1402851,798,697,1871,536,2669,1233s,"{'WALK', 'BUS'}"
2242111,1984,1560,9333,1110,11317,2671s,"{'SUBWAY', 'WALK'}"
1612362,1012,858,14587,2166,15599,3672s,"{'SUBWAY', 'WALK', 'BUS'}"
4491499,1522,1466,20057,1855,21579,4429s,"{'SUBWAY', 'WALK', 'BUS'}"
295047,1668,1376,10455,1320,12123,2715s,"{'SUBWAY', 'WALK'}"
1588312,1046,900,6991,1469,8037,2886s,"{'WALK', 'BUS'}"
2381872,321,276,865,304,1186,580s,"{'WALK', 'BUS'}"
243242,1971,1657,22791,2676,24762,4714s,"{'SUBWAY', 'WALK', 'BUS'}"
4504166,1428,1240,8418,1320,9846,2561s,"{'SUBWAY', 'WALK'}"
2712383,,,,,,,
3488470,306,276,1987,619,2293,895s,"{'WALK', 'BUS'}"
4937712,463,426,4110,1366,4573,1792s,"{'WALK', 'BUS'}"
2094378,810,708,9887,1942,10697,2951s,"{'WALK', 'BUS'}"
1041231,140,125,2642,987,2782,1122s,"{'WALK', 'BUS'}"
3937751,805,667,6026,1463,6831,2872s,"{'WALK', 'BUS'}"
1987580,873,737,7671,1968,8544,3005s,"{'WALK', 'BUS'}"
2247703,536,609,15516,2673,16052,3514s,"{'SUBWAY', 'WALK', 'BUS'}"
1033784,748,631,2323,523,3071,1154s,"{'WALK', 'BUS'}"
1118910,818,829,21011,2319,21829,3692s,"{'SUBWAY', 'WALK', 'BUS'}"
1514798,866,812,4191,780,5057,1593s,"{'SUBWAY', 'WALK'}"
756091,738,780,864,90,1602,870s,"{'SUBWAY', 'WALK'}"
2910073,616,552,4752,1392,5368,2275s,"{'WALK', 'BUS'}"
2846495,1271,1114,13084,2105,14355,3220s,"{'WALK', 'BUS'}"
361733,1198,1121,7092,990,8290,2113s,"{'SUBWAY', 'WALK'}"
739029,658,536,5338,791,5996,1715s,"{'WALK', 'BUS'}"
