day_type,start_hour,Pickup Centroid Latitude,Pickup Centroid Longitude,Dropoff Centroid Latitude,Dropoff Centroid Longitude,group_n,group_id,representative_year,representative_month,representative_day
1,1,41.922,-87.634,41.929,-87.651,59,2486931,2026,04,25
2,18,41.979,-87.903,41.898,-87.621,250,4791543,2026,04,22
2,13,41.979,-87.903,41.885,-87.621,297,4548808,2026,04,22
0,11,41.769,-87.566,41.868,-87.643,5,744122,2026,04,26
0,12,41.97,-87.76,41.79,-87.601,1,845370,2026,04,25
0,3,41.901,-87.694,41.946,-87.654,13,416632,2026,04,22
0,19,41.859,-87.617,41.893,-87.626,1298,1633819,2026,04,25
0,5,41.758,-87.563,41.868,-87.643,17,570015,2026,04,22
0,0,41.895,-87.62,41.683,-87.572,3,62075,2026,04,22
0,18,41.979,-87.903,41.859,-87.617,1520,1573502,2026,04,25
0,0,41.893,-87.626,41.892,-87.632,1549,61518,2026,04,22
1,18,41.893,-87.638,41.905,-87.65,73,3329184,2026,04,22
2,19,41.786,-87.751,41.881,-87.633,187,4804043,2026,04,22
1,1,41.922,-87.641,41.943,-87.643,11,2486727,2026,04,25
0,16,41.941,-87.671,41.922,-87.634,5,1307684,2026,04,22
0,14,41.718,-87.653,41.732,-87.639,5,972013,2026,04,22
2,22,41.871,-87.631,41.879,-87.643,111,4995074,2026,04,26
2,20,41.885,-87.657,41.898,-87.654,79,4877258,2026,04,22
2,2,41.931,-87.642,41.907,-87.636,34,4035431,2026,04,22
0,15,41.885,-87.621,41.881,-87.633,5296,1153924,2026,04,22
2,19,41.899,-87.689,41.879,-87.643,6,4823053,2026,04,22
0,17,41.881,-87.633,41.9,-87.67,97,1390509,2026,04,22
0,14,41.9,-87.632,41.994,-87.695,7,1040604,2026,04,22
2,1,41.929,-87.651,41.916,-87.692,13,3943680,2026,04,22
2,2,41.885,-87.621,41.899,-87.626,288,4007070,2026,04,22
0,20,41.885,-87.621,41.892,-87.632,1225,1790850,2026,04,22
2,19,41.949,-87.657,41.943,-87.641,2,4842270,2026,04,22
0,5,41.79,-87.601,41.798,-87.599,753,573550,2026,04,22
2,2,41.936,-87.652,41.861,-87.631,1,4039418,2026,04,22
2,3,41.953,-87.646,41.949,-87.657,20,4140781,2026,04,22
1,6,41.928,-87.705,41.899,-87.626,6,2879311,2026,04,22
1,3,41.9,-87.67,41.892,-87.684,5,2644912,2026,04,22
1,3,41.973,-87.679,41.938,-87.639,7,2684176,2026,04,22
1,21,41.92,-87.761,41.926,-87.761,1,3573964,2026,04,26
2,4,41.881,-87.633,41.949,-87.657,57,4183622,2026,04,22
2,2,41.943,-87.652,41.936,-87.666,64,4043354,2026,04,22
0,23,41.929,-87.666,41.885,-87.621,82,2287033,2026,04,26
0,2,41.879,-87.657,41.893,-87.626,328,290453,2026,04,26
1,23,41.922,-87.634,41.885,-87.657,201,3753866,2026,04,25
2,5,41.879,-87.657,41.892,-87.632,141,4267674,2026,04,26
0,22,41.987,-87.704,41.902,-87.638,1,2171966,2026,04,22
1,3,41.856,-87.66,41.863,-87.654,4,2625125,2026,04,22
0,0,41.893,-87.638,41.945,-87.662,41,61072,2026,04,22
1,15,41.898,-87.621,41.942,-87.661,15,3133826,2026,04,25
1,1,41.664,-87.637,41.7,-87.628,2,2432824,2026,04,25
0,14,41.783,-87.599,41.885,-87.621,31,993257,2026,04,22
1,3,41.916,-87.675,41.958,-87.676,3,2654418,2026,04,22
1,4,41.929,-87.685,41.879,-87.657,14,2744235,2026,04,22
0,20,41.9,-87.629,41.898,-87.641,21,1804144,2026,04,22
2,19,41.961,-87.752,41.957,-87.723,2,4846122,2026,04,22
2,20,41.987,-87.672,41.915,-87.632,1,4913215,2026,04,22
0,23,41.979,-87.903,41.871,-87.631,425,2324529,2026,04,26
0,3,41.79,-87.601,41.806,-87.587,1278,378653,2026,04,25
0,4,41.877,-87.622,41.965,-87.703,13,501009,2026,04,22
0,14,41.791,-87.623,41.801,-87.585,19,996681,2026,04,22
0,0,41.898,-87.654,41.898,-87.654,220,63112,2026,04,22
0,23,41.938,-87.639,41.929,-87.656,37,2296523,2026,04,26
0,15,41.885,-87.621,41.895,-87.62,1268,1153956,2026,04,22
0,13,41.943,-87.652,41.893,-87.626,52,942834,2026,04,22
0,18,41.881,-87.633,41.879,-87.657,1079,1514763,2026,04,26
0,12,41.885,-87.657,41.893,-87.626,238,813734,2026,04,25
2,5,41.892,-87.632,41.847,-87.664,81,4273761,2026,04,26
0,15,41.895,-87.734,41.907,-87.641,1,1159564,2026,04,22
1,19,41.893,-87.626,41.946,-87.647,12,3402397,2026,04,22
0,4,41.783,-87.594,41.783,-87.594,22,482975,2026,04,22
0,4,41.881,-87.633,41.892,-87.679,32,503141,2026,04,22
0,23,41.979,-87.903,41.972,-87.686,40,2324824,2026,04,26
0,13,41.901,-87.694,41.915,-87.732,1,920356,2026,04,22
0,14,41.775,-87.718,41.739,-87.689,1,989112,2026,04,22
0,21,41.761,-87.703,41.816,-87.652,1,1885394,2026,04,22
0,0,41.912,-87.675,41.905,-87.65,33,76448,2026,04,22
0,12,41.987,-87.665,41.979,-87.903,281,850379,2026,04,25
0,5,41.885,-87.657,41.906,-87.631,201,587779,2026,04,22
0,1,41.892,-87.632,41.87,-87.675,66,184244,2026,04,22
1,3,41.893,-87.638,41.899,-87.626,205,2640704,2026,04,22
1,1,41.929,-87.656,41.922,-87.646,22,2490364,2026,04,22
2,3,41.893,-87.638,41.898,-87.621,135,4101648,2026,04,22
0,0,41.791,-87.583,41.783,-87.599,150,21868,2026,04,22
2,11,41.985,-87.658,41.979,-87.903,5,4511812,2026,04,25
2,23,41.991,-87.657,41.943,-87.652,9,5098889,2026,04,26
1,14,41.985,-87.654,41.98,-87.671,5,3103010,2026,04,25
0,19,41.913,-87.641,41.786,-87.751,10,1670471,2026,04,25
2,1,41.973,-87.694,41.885,-87.657,29,3967641,2026,04,22
0,0,41.898,-87.621,41.972,-87.671,19,63995,2026,04,22
0,16,41.871,-87.631,41.851,-87.635,94,1264899,2026,04,22
0,14,41.881,-87.633,41.898,-87.621,720,1027132,2026,04,22
0,14,41.741,-87.601,41.741,-87.61,27,976460,2026,04,22
0,23,41.892,-87.632,41.945,-87.676,5,2253350,2026,04,26
0,14,41.898,-87.621,41.979,-87.903,1426,1037540,2026,04,22
