group_id,walkDist,walkTime,transitDist,transitTime,totalDist,totalTime,modes
2486931,1239,1025,840,240,2079,1277s,"{'WALK', 'BUS'}"
4791543,1758,1534,29087,3374,30845,5163s,"{'WALK', 'BUS', 'SUBWAY'}"
4548808,1514,1239,29907,3138,31421,4661s,"{'WALK', 'BUS', 'SUBWAY'}"
744122,944,886,16148,2155,17092,3487s,"{'WALK', 'BUS'}"
845370,923,835,29004,3382,29927,5121s,"{'WALK', 'BUS', 'SUBWAY'}"
416632,522,527,11250,1831,11772,2788s,"{'WALK', 'BUS', 'SUBWAY'}"
1633819,1099,938,3915,1561,5014,2501s,"{'WALK', 'BUS'}"
570015,541,529,19848,2308,20389,3651s,"{'WALK', 'BUS', 'SUBWAY'}"
62075,,,,,,,
1573502,2079,1740,31251,3579,33330,5732s,"{'WALK', 'BUS', 'SUBWAY'}"
61518,282,270,801,204,1083,477s,"{'WALK', 'BUS'}"
3329184,438,374,2015,527,2453,1322s,"{'WALK', 'BUS'}"
4804043,849,720,19997,2109,20846,3261s,"{'WALK', 'BUS', 'SUBWAY'}"
2486727,407,345,2527,746,2934,1092s,"{'WALK', 'BUS'}"
1307684,386,328,4891,1294,5277,1905s,"{'WALK', 'BUS'}"
972013,722,618,2460,377,3182,1369s,"{'WALK', 'BUS'}"
4995074,1246,1156,825,60,2071,1217s,"{'WALK', 'SUBWAY'}"
4877258,1247,1035,1613,550,2860,1594s,"{'WALK', 'BUS'}"
4035431,806,695,2793,589,3599,1312s,"{'WALK', 'BUS'}"
1153924,324,291,1317,341,1641,634s,"{'WALK', 'BUS'}"
4823053,883,831,6181,982,7064,2034s,"{'WALK', 'HEAVY_RAIL', 'BUS'}"
1390509,1099,1095,4358,570,5457,1665s,"{'WALK', 'SUBWAY'}"
1040604,1098,1011,15409,2247,16507,3799s,"{'WALK', 'BUS', 'SUBWAY'}"
3943680,380,333,6853,1190,7233,1893s,"{'WALK', 'BUS'}"
4007070,648,520,1476,506,2124,1026s,"{'WALK', 'BUS'}"
1790850,328,288,2045,856,2373,1442s,"{'WALK', 'BUS'}"
4842270,706,576,1926,516,2632,1093s,"{'WALK', 'BUS'}"
573550,1109,927,0,0,1109,928s,{'WALK'}
4039418,1600,1407,11014,1380,12614,2787s,"{'WALK', 'SUBWAY'}"
