group_id,walkDist,walkTime,transitDist,transitTime,totalDist,totalTime,modes
558837,1876,1570,22341,2247,24217,4565s,"{'WALK', 'SUBWAY', 'BUS'}"
1781137,1127,1072,9513,1825,10640,3134s,"{'WALK', 'SUBWAY', 'BUS'}"
3644133,769,664,4419,927,5188,1596s,"{'WALK', 'BUS'}"
1027110,455,383,1900,618,2355,1001s,"{'WALK', 'BUS'}"
847978,2294,1969,26154,2310,28448,4279s,"{'WALK', 'SUBWAY'}"
1117646,751,614,13553,1680,14304,2753s,"{'WALK', 'SUBWAY'}"
294798,1159,1081,2489,450,3648,1531s,"{'WALK', 'SUBWAY'}"
3352082,484,406,1748,433,2232,839s,"{'WALK', 'BUS'}"
809885,391,365,8389,1341,8780,2041s,"{'WALK', 'BUS'}"
543190,528,454,1673,316,2201,775s,"{'WALK', 'BUS'}"
3530315,,,,,,,
4279907,673,583,8493,1805,9166,2689s,"{'WALK', 'BUS'}"
4118870,2832,2500,12618,1350,15450,4398s,"{'WALK', 'SUBWAY', 'BUS'}"
3253434,1065,1033,2838,540,3903,1573s,"{'WALK', 'SUBWAY'}"
2250909,66,52,829,184,895,250s,"{'WALK', 'BUS'}"
3830324,330,273,1150,386,1480,661s,"{'WALK', 'BUS'}"
49784,936,934,6180,870,7116,1804s,"{'WALK', 'SUBWAY'}"
2136288,135,132,5572,1826,5707,2290s,"{'WALK', 'BUS'}"
2514565,1706,1474,32135,3504,33841,5392s,"{'WALK', 'SUBWAY', 'BUS'}"
1904227,918,805,6483,1917,7401,2722s,"{'WALK', 'BUS'}"
230528,1215,1015,5419,1046,6634,2565s,"{'WALK', 'BUS'}"
3320437,305,252,6713,1875,7018,2471s,"{'WALK', 'BUS'}"
2824564,792,677,5412,963,6204,2034s,"{'WALK', 'BUS'}"
697700,2166,1939,4304,570,6470,2509s,"{'WALK', 'SUBWAY'}"
65689,674,594,2544,762,3218,1357s,"{'WALK', 'BUS'}"
26299,569,471,2773,661,3342,1132s,"{'WALK', 'BUS'}"
4602985,490,589,4975,771,5465,1658s,"{'WALK', 'SUBWAY', 'BUS'}"
1528022,1201,1052,1980,581,3181,1633s,"{'WALK', 'BUS'}"
3821434,359,310,2490,771,2849,1084s,"{'WALK', 'BUS'}"
4440526,2279,1913,0,0,2279,1914s,{'WALK'}
49820,1220,1035,3128,773,4348,1828s,"{'WALK', 'BUS'}"
3804746,510,418,1482,368,1992,787s,"{'WALK', 'BUS'}"
152675,1280,1069,11479,1502,12759,2900s,"{'WALK', 'BUS'}"
527230,1495,1291,2535,500,4030,1792s,"{'WALK', 'BUS'}"
2635839,1625,1409,4144,510,5769,1919s,"{'WALK', 'SUBWAY'}"
664715,1051,908,2304,715,3355,1641s,"{'WALK', 'BUS'}"
1183769,791,665,10800,2643,11591,3314s,"{'WALK', 'BUS'}"
543167,433,374,2750,470,3183,845s,"{'WALK', 'BUS'}"
2324507,2079,1740,31293,3356,33372,5620s,"{'WALK', 'SUBWAY', 'BUS'}"
816755,569,488,3016,738,3585,1226s,"{'WALK', 'BUS'}"
179437,1039,893,9026,1535,10065,2662s,"{'WALK', 'BUS'}"
4060609,184,159,1625,291,1809,483s,"{'WALK', 'BUS'}"
3728739,1221,1047,13409,1965,14630,3012s,"{'WALK', 'BUS'}"
3547777,965,814,4809,1700,5774,2515s,"{'WALK', 'BUS'}"
1446611,1489,1291,27823,2867,29312,4621s,"{'WALK', 'SUBWAY', 'BUS'}"
67440,1248,1109,3559,570,4807,1680s,"{'WALK', 'SUBWAY'}"
1548241,1167,1043,12726,2213,13893,3957s,"{'WALK', 'SUBWAY', 'BUS'}"
2629785,1105,920,2576,811,3681,1732s,"{'WALK', 'BUS'}"
2468746,1776,1573,3473,420,5249,1995s,"{'WALK', 'SUBWAY'}"
2301410,715,593,1808,420,2523,1013s,"{'WALK', 'BUS'}"
1026481,556,460,1111,356,1667,822s,"{'WALK', 'BUS'}"
4911184,1758,1534,29128,3374,30886,5133s,"{'WALK', 'SUBWAY', 'BUS'}"
3129284,305,280,2726,667,3031,948s,"{'WALK', 'BUS'}"
51011,583,514,5673,1558,6256,2389s,"{'WALK', 'BUS'}"
407533,824,712,2194,490,3018,1202s,"{'WALK', 'BUS'}"
430851,1233,1054,1341,304,2574,1358s,"{'WALK', 'BUS'}"
4268538,965,872,437,183,1402,1055s,"{'WALK', 'BUS'}"
1645468,753,683,2623,720,3376,1614s,"{'WALK', 'SUBWAY', 'BUS'}"
4176218,1304,1098,5878,1492,7182,3103s,"{'WALK', 'BUS'}"
2381448,501,461,6580,1810,7081,2944s,"{'WALK', 'BUS'}"
59149,453,394,2605,724,3058,1118s,"{'WALK', 'BUS'}"
1773951,1326,1124,4287,1460,5613,2585s,"{'WALK', 'BUS'}"
941711,700,615,8741,1290,9441,1906s,"{'WALK', 'SUBWAY'}"
717510,1796,1533,16643,1667,18439,3790s,"{'WALK', 'SUBWAY', 'BUS'}"
4493075,630,565,1604,312,2234,877s,"{'WALK', 'BUS'}"
3357520,731,619,4362,1324,5093,1949s,"{'WALK', 'BUS'}"
643052,1112,1068,873,150,1985,1220s,"{'WALK', 'SUBWAY'}"
2257075,497,413,3875,1264,4372,1678s,"{'WALK', 'BUS'}"
1161166,401,333,4129,1496,4530,1829s,"{'WALK', 'BUS'}"
3395816,503,422,6240,1625,6743,2054s,"{'WALK', 'BUS'}"
2575854,846,709,798,156,1644,901s,"{'WALK', 'BUS'}"
1558972,1247,1059,5033,1387,6280,2448s,"{'WALK', 'BUS'}"
1940038,943,838,4173,1229,5116,2068s,"{'WALK', 'BUS'}"
2727420,1077,929,10258,1524,11335,2958s,"{'WALK', 'BUS'}"
4469328,1914,1663,41119,5042,43033,7666s,"{'WALK', 'SUBWAY', 'BUS'}"
4184974,1686,1454,0,0,1686,1454s,{'WALK'}
1682237,626,528,7813,2225,8439,2753s,"{'WALK', 'BUS'}"
619536,716,599,5121,953,5837,1609s,"{'WALK', 'BUS'}"
4114307,1040,915,3473,450,4513,1366s,"{'WALK', 'SUBWAY'}"
1014198,744,618,4663,1318,5407,2209s,"{'WALK', 'BUS'}"
300863,2054,1710,0,0,2054,1709s,{'WALK'}
1241144,1044,873,9936,2231,10980,3421s,"{'WALK', 'BUS'}"
2117668,1453,1360,1080,120,2533,1481s,"{'WALK', 'SUBWAY'}"
4663176,626,538,3910,942,4536,1797s,"{'WALK', 'BUS'}"
873550,834,689,11108,1099,11942,2482s,"{'WALK', 'HEAVY_RAIL', 'BUS'}"
2985455,1962,1751,24129,2220,26091,3973s,"{'WALK', 'SUBWAY'}"
1676074,2204,1866,4617,630,6821,2515s,"{'WALK', 'SUBWAY'}"
186539,1066,935,1825,466,2891,1402s,"{'WALK', 'BUS'}"
3086006,536,439,5982,963,6518,1403s,"{'WALK', 'BUS'}"
4342715,803,712,2188,483,2991,1195s,"{'WALK', 'BUS'}"
139162,,,,,,,
1396860,551,474,862,294,1413,795s,"{'WALK', 'BUS'}"
2296279,1280,1067,2444,660,3724,1741s,"{'WALK', 'BUS'}"
3956667,1404,1242,17611,2353,19015,3876s,"{'WALK', 'SUBWAY', 'BUS'}"
750522,510,431,7661,1571,8171,3130s,"{'WALK', 'BUS'}"
391534,1513,1451,7300,1278,8813,2974s,"{'WALK', 'SUBWAY', 'BUS'}"
3511707,1254,1174,4074,570,5328,1744s,"{'WALK', 'SUBWAY'}"
1157520,476,436,1118,411,1594,847s,"{'WALK', 'BUS'}"
1936747,682,623,929,344,1611,967s,"{'WALK', 'BUS'}"
1810719,1286,1092,1892,640,3178,1732s,"{'WALK', 'BUS'}"
3478767,401,336,1161,500,1562,895s,"{'WALK', 'BUS'}"
501680,1167,964,9391,1851,10558,2862s,"{'WALK', 'BUS'}"
2051355,1169,1166,20262,1980,21431,3652s,"{'WALK', 'SUBWAY', 'BUS'}"
1663042,1334,1095,2793,791,4127,1887s,"{'WALK', 'BUS'}"
4765606,404,374,669,193,1073,569s,"{'WALK', 'BUS'}"
1986859,1145,1032,10551,1983,11696,3240s,"{'WALK', 'SUBWAY', 'BUS'}"
1273955,2224,1884,28192,2730,30416,4615s,"{'WALK', 'SUBWAY'}"
3660928,539,449,5028,1246,5567,1696s,"{'WALK', 'BUS'}"
171937,957,1007,3866,805,4823,1963s,"{'WALK', 'SUBWAY', 'BUS'}"
