day_type,start_hour,Pickup Centroid Latitude,Pickup Centroid Longitude,Dropoff Centroid Latitude,Dropoff Centroid Longitude,group_n,group_id,representative_year,representative_month,representative_day
2,2,41.935,-87.64,41.943,-87.643,17,4037411,2026,04,22
0,4,41.958,-87.672,41.935,-87.64,6,551047,2026,04,22
0,21,41.726,-87.649,41.766,-87.599,4,1874616,2026,04,22
2,8,41.798,-87.604,41.798,-87.594,8,4438342,2026,04,25
0,19,41.885,-87.657,41.871,-87.631,316,1648541,2026,04,25
0,1,41.885,-87.643,41.915,-87.654,209,179897,2026,04,22
2,9,41.877,-87.622,41.893,-87.626,9,4472047,2026,04,25
1,2,41.928,-87.705,41.893,-87.638,26,2574975,2026,04,22
0,3,41.9,-87.632,41.915,-87.646,12,415820,2026,04,22
0,22,41.877,-87.622,41.905,-87.65,99,2087606,2026,04,22
2,5,41.907,-87.636,41.915,-87.654,109,4284724,2026,04,26
0,13,41.9,-87.675,41.881,-87.633,540,919042,2026,04,22
0,0,41.915,-87.654,41.915,-87.632,247,77970,2026,04,22
0,1,41.929,-87.651,41.951,-87.671,16,214098,2026,04,22
2,3,41.935,-87.64,41.929,-87.646,11,4127757,2026,04,22
0,22,41.941,-87.671,41.881,-87.633,34,2141585,2026,04,22
2,7,41.885,-87.643,41.989,-87.657,2,4401177,2026,04,25
1,0,41.979,-87.903,41.891,-87.619,598,2424469,2026,04,25
0,14,41.898,-87.621,41.885,-87.621,1109,1037365,2026,04,22
0,17,41.879,-87.657,41.892,-87.629,104,1389354,2026,04,22
0,2,41.885,-87.657,41.95,-87.762,6,293810,2026,04,26
0,17,41.893,-87.653,41.891,-87.619,143,1398157,2026,04,26
0,16,41.9,-87.629,41.895,-87.62,150,1284353,2026,04,22
1,6,41.929,-87.636,41.929,-87.661,5,2881984,2026,04,22
1,2,41.769,-87.629,41.755,-87.62,2,2528440,2026,04,22
0,0,41.979,-87.903,41.885,-87.643,1268,122392,2026,04,22
0,12,41.871,-87.622,41.885,-87.657,333,809068,2026,04,25
0,0,41.783,-87.599,41.79,-87.601,3136,18513,2026,04,22
0,3,41.936,-87.661,41.9,-87.67,23,440434,2026,04,22
0,12,41.871,-87.622,41.979,-87.903,2406,809189,2026,04,25
0,0,41.899,-87.626,41.929,-87.685,38,65812,2026,04,22
0,19,41.979,-87.903,41.994,-87.665,120,1709878,2026,04,25
0,13,41.881,-87.633,41.881,-87.633,4763,908050,2026,04,25
2,17,41.98,-87.694,41.979,-87.903,22,4735572,2026,04,22
2,6,41.892,-87.679,41.929,-87.685,4,4345008,2026,04,26
2,2,41.98,-87.664,41.964,-87.652,14,4060854,2026,04,22
0,2,41.885,-87.657,41.9,-87.632,1018,293648,2026,04,26
2,21,41.859,-87.617,41.912,-87.69,5,4931818,2026,04,22
0,18,41.958,-87.653,42.016,-87.68,12,1565267,2026,04,25
0,20,41.879,-87.689,41.881,-87.633,12,1784808,2026,04,22
0,22,41.79,-87.59,41.79,-87.601,397,2053351,2026,04,22
0,14,41.979,-87.903,41.881,-87.633,6494,1082621,2026,04,22
2,20,41.892,-87.629,41.929,-87.636,21,4880183,2026,04,22
0,6,41.885,-87.621,41.898,-87.654,32,643463,2026,04,26
0,15,41.856,-87.66,41.935,-87.64,2,1139047,2026,04,22
0,5,41.9,-87.675,41.921,-87.695,8,596467,2026,04,22
0,22,41.816,-87.633,41.802,-87.594,1,2063929,2026,04,22
0,0,41.892,-87.629,41.879,-87.672,529,59147,2026,04,22
0,1,41.893,-87.626,41.859,-87.617,1068,187100,2026,04,22
1,1,41.798,-87.59,41.79,-87.601,334,2445397,2026,04,25
0,21,41.881,-87.633,41.881,-87.633,3001,1936754,2026,04,22
0,0,41.885,-87.657,41.879,-87.643,1943,53174,2026,04,22
1,0,41.9,-87.632,41.885,-87.657,621,2381857,2026,04,25
1,1,41.79,-87.601,41.798,-87.59,751,2443500,2026,04,25
0,2,41.936,-87.652,41.973,-87.664,41,333125,2026,04,25
2,0,41.931,-87.642,41.942,-87.666,6,3851949,2026,04,22
0,21,41.973,-87.694,41.972,-87.739,37,2007441,2026,04,22
0,23,41.79,-87.601,41.801,-87.585,3366,2208151,2026,04,26
0,22,41.893,-87.638,41.921,-87.7,79,2101277,2026,04,22
0,3,41.891,-87.619,41.926,-87.761,3,405347,2026,04,22
1,14,41.95,-87.644,41.927,-87.643,1,3096147,2026,04,25
2,15,41.916,-87.675,41.922,-87.634,4,4611682,2026,04,22
0,20,41.776,-87.638,41.769,-87.638,33,1744310,2026,04,22
