day_type,start_hour,Pickup Centroid Latitude,Pickup Centroid Longitude,Dropoff Centroid Latitude,Dropoff Centroid Longitude,group_n,group_id,representative_year,representative_month,representative_day
0,22,41.928,-87.705,41.994,-87.665,2,2130075,2026,04,22
1,21,41.945,-87.669,41.885,-87.643,17,3589431,2026,04,26
2,14,41.949,-87.657,41.95,-87.644,2,4577237,2026,04,22
0,16,41.885,-87.643,41.893,-87.626,780,1273194,2026,04,22
1,20,41.929,-87.636,41.895,-87.62,17,3498566,2026,04,22
0,3,41.929,-87.646,41.909,-87.631,36,436053,2026,04,22
2,4,41.893,-87.626,41.885,-87.621,476,4191802,2026,04,22
1,15,41.798,-87.59,41.903,-87.626,2,3117086,2026,04,25
1,20,41.754,-87.56,41.718,-87.613,1,3450312,2026,04,22
0,23,41.902,-87.638,41.929,-87.651,60,2263940,2026,04,26
0,20,42.006,-87.668,41.98,-87.694,12,1865550,2026,04,22
2,0,41.9,-87.629,41.885,-87.657,374,3833345,2026,04,22
0,19,41.849,-87.624,41.907,-87.69,3,1630257,2026,04,25
0,18,41.892,-87.719,41.863,-87.673,19,1519978,2026,04,26
0,5,41.979,-87.903,41.79,-87.59,31,626586,2026,04,22
1,19,41.916,-87.675,41.906,-87.675,7,3412895,2026,04,22
2,20,41.915,-87.632,41.786,-87.751,38,4889481,2026,04,22
0,16,41.972,-87.671,41.98,-87.671,4,1322987,2026,04,22
0,22,41.913,-87.775,41.913,-87.761,9,2118360,2026,04,22
0,22,41.868,-87.643,41.868,-87.643,309,2080550,2026,04,22
1,22,41.891,-87.619,41.922,-87.634,91,3642429,2026,04,25
1,2,41.967,-87.684,41.943,-87.657,8,2596935,2026,04,22
0,22,41.798,-87.604,41.79,-87.601,174,2056209,2026,04,22
2,21,41.892,-87.613,41.979,-87.903,227,4941077,2026,04,22
0,17,41.732,-87.639,41.979,-87.903,1,1342249,2026,04,22
2,3,41.907,-87.636,41.973,-87.664,18,4111230,2026,04,22
0,3,41.892,-87.665,41.895,-87.62,24,407087,2026,04,22
2,13,41.972,-87.739,41.979,-87.903,6,4548144,2026,04,22
0,17,41.84,-87.728,41.864,-87.693,1,1373829,2026,04,22
0,0,41.786,-87.751,41.885,-87.684,25,19517,2026,04,22
0,2,41.893,-87.626,41.859,-87.617,1091,301376,2026,04,26
0,13,42.006,-87.668,41.895,-87.62,56,964789,2026,04,22
1,14,41.891,-87.619,41.929,-87.712,2,3077819,2026,04,25
0,0,41.777,-87.603,41.727,-87.658,3,16965,2026,04,22
0,12,41.777,-87.596,41.877,-87.681,16,791622,2026,04,25
1,0,41.881,-87.633,41.936,-87.652,39,2370124,2026,04,25
0,0,41.979,-87.903,41.791,-87.583,57,122255,2026,04,22
0,15,41.899,-87.684,41.951,-87.667,1,1162819,2026,04,22
1,23,41.895,-87.62,41.892,-87.629,83,3736618,2026,04,25
0,22,41.906,-87.675,41.943,-87.731,4,2112228,2026,04,22
0,13,41.892,-87.629,41.885,-87.657,1134,913901,2026,04,25
0,23,41.899,-87.626,41.967,-87.684,22,2261024,2026,04,26
0,2,41.936,-87.666,41.909,-87.631,15,331991,2026,04,25
0,2,41.79,-87.59,41.856,-87.66,3,268132,2026,04,26
1,2,41.881,-87.633,41.949,-87.657,58,2549441,2026,04,22
0,4,41.791,-87.583,41.893,-87.626,8,484974,2026,04,22
0,17,41.921,-87.71,41.847,-87.664,13,1415258,2026,04,26
0,4,41.895,-87.62,41.892,-87.665,11,512642,2026,04,22
2,18,41.973,-87.657,41.936,-87.661,4,4790867,2026,04,22
0,21,41.895,-87.734,41.869,-87.756,7,1948294,2026,04,22
2,5,41.881,-87.633,41.879,-87.643,117,4268543,2026,04,26
1,17,41.895,-87.62,41.929,-87.646,31,3260622,2026,04,22
0,15,41.807,-87.609,41.728,-87.596,10,1126518,2026,04,22
0,6,41.892,-87.632,41.871,-87.631,243,644784,2026,04,26
1,21,41.742,-87.63,41.79,-87.662,1,3529333,2026,04,26
0,2,41.979,-87.903,41.899,-87.689,101,355672,2026,04,25
0,0,41.958,-87.66,41.953,-87.646,71,112115,2026,04,22
2,0,41.862,-87.732,41.849,-87.732,2,3815117,2026,04,22
2,19,41.879,-87.643,41.908,-87.671,21,4816133,2026,04,22
1,14,41.879,-87.657,41.87,-87.675,23,3075381,2026,04,25
1,22,41.877,-87.622,41.834,-87.633,29,3637476,2026,04,25
2,2,41.885,-87.657,41.806,-87.587,16,4005963,2026,04,22
0,18,41.946,-87.654,41.922,-87.634,8,1558710,2026,04,25
2,17,41.845,-87.649,41.762,-87.59,3,4696744,2026,04,22
1,1,41.9,-87.67,41.916,-87.641,5,2473014,2026,04,25
0,15,41.864,-87.693,41.87,-87.675,26,1142074,2026,04,22
0,18,41.748,-87.649,41.849,-87.624,12,1468378,2026,04,26
0,2,41.893,-87.638,41.893,-87.653,301,300838,2026,04,26
0,0,41.907,-87.636,41.849,-87.624,27,73391,2026,04,22
0,22,41.859,-87.617,41.916,-87.692,17,2077017,2026,04,22
1,19,41.985,-87.654,41.979,-87.658,3,3440099,2026,04,22
0,12,41.877,-87.622,41.859,-87.617,439,810978,2026,04,25
1,15,41.979,-87.903,41.885,-87.657,153,3160017,2026,04,22
0,1,41.929,-87.661,41.946,-87.654,26,213498,2026,04,22
0,4,41.922,-87.69,41.905,-87.65,10,528997,2026,04,22
2,3,41.892,-87.613,41.929,-87.651,23,4100719,2026,04,22
0,21,41.791,-87.594,41.77,-87.589,3,1900073,2026,04,22
1,4,41.893,-87.626,41.892,-87.629,102,2724525,2026,04,22
1,15,41.893,-87.626,41.893,-87.638,137,3132710,2026,04,25
0,0,41.903,-87.626,41.868,-87.643,17,68907,2026,04,22
2,14,41.879,-87.657,41.877,-87.622,28,4562042,2026,04,22
2,6,41.98,-87.671,41.943,-87.652,55,4387571,2026,04,25
0,4,41.893,-87.638,41.919,-87.671,21,511428,2026,04,22
0,3,41.881,-87.633,41.893,-87.653,379,400913,2026,04,22
0,23,41.979,-87.903,41.949,-87.657,228,2324759,2026,04,26
0,6,41.929,-87.712,41.899,-87.709,3,656363,2026,04,26
0,3,41.892,-87.629,41.908,-87.627,193,408172,2026,04,22
0,12,41.907,-87.636,41.892,-87.719,2,823819,2026,04,25
2,3,41.885,-87.643,41.943,-87.647,73,4096143,2026,04,22
0,2,41.859,-87.617,41.863,-87.654,26,282108,2026,04,26
0,1,41.979,-87.903,41.877,-87.622,1311,242992,2026,04,26
0,22,41.906,-87.761,41.862,-87.708,8,2110902,2026,04,22
1,23,41.893,-87.638,41.892,-87.629,238,3735617,2026,04,25
1,22,41.82,-87.61,41.827,-87.633,1,3626392,2026,04,25
0,4,41.881,-87.633,41.871,-87.622,805,503092,2026,04,22
2,3,41.79,-87.59,41.798,-87.604,56,4076406,2026,04,22
1,5,41.935,-87.64,41.958,-87.66,4,2823568,2026,04,22
0,16,41.921,-87.7,41.919,-87.671,7,1295508,2026,04,22
0,20,41.87,-87.675,41.9,-87.67,33,1778889,2026,04,22
2,23,41.962,-87.645,41.859,-87.617,14,5091869,2026,04,26
2,1,41.77,-87.574,41.766,-87.599,1,3892790,2026,04,22
1,5,41.856,-87.66,41.885,-87.621,47,2787545,2026,04,22
0,17,41.935,-87.643,41.929,-87.651,6,1424681,2026,04,26
1,0,41.9,-87.629,41.929,-87.651,28,2382245,2026,04,25
0,21,41.885,-87.657,41.898,-87.654,334,1939364,2026,04,22
0,13,41.979,-87.903,41.905,-87.65,267,957860,2026,04,22
1,3,41.879,-87.657,41.899,-87.689,14,2632447,2026,04,22
0,0,41.742,-87.579,41.783,-87.608,10,7205,2026,04,22
0,21,41.848,-87.717,41.761,-87.686,1,1918285,2026,04,22
0,23,41.859,-87.617,41.892,-87.613,526,2231660,2026,04,26
1,5,41.943,-87.718,41.856,-87.683,2,2827725,2026,04,22
2,19,41.908,-87.671,41.95,-87.684,1,4827647,2026,04,22
2,3,41.892,-87.679,41.892,-87.632,46,4098570,2026,04,22
2,7,41.935,-87.761,41.915,-87.646,2,4421153,2026,04,25
0,16,41.895,-87.62,41.908,-87.671,60,1279784,2026,04,22
2,23,41.786,-87.751,41.783,-87.594,29,5046377,2026,04,26
0,4,41.891,-87.619,41.892,-87.632,504,507174,2026,04,22
0,23,41.973,-87.657,41.929,-87.656,13,2322666,2026,04,26
0,14,41.906,-87.675,41.881,-87.633,1016,1043265,2026,04,22
0,20,41.907,-87.636,41.979,-87.903,451,1809808,2026,04,22
2,17,41.98,-87.664,41.994,-87.665,11,4735915,2026,04,22
0,22,41.987,-87.704,41.994,-87.686,11,2172074,2026,04,22
0,19,41.965,-87.732,41.994,-87.705,1,1703073,2026,04,25
0,1,41.893,-87.638,41.906,-87.631,271,186591,2026,04,22
0,2,41.893,-87.653,41.879,-87.643,199,300308,2026,04,26
