day_type,start_hour,Pickup Centroid Latitude,Pickup Centroid Longitude,Dropoff Centroid Latitude,Dropoff Centroid Longitude,group_n,group_id,representative_year,representative_month,representative_day
0,23,41.97,-87.76,41.965,-87.703,12,2319706,2026,04,26
1,19,41.849,-87.624,41.915,-87.632,11,3388219,2026,04,22
1,22,41.828,-87.614,41.913,-87.641,1,3627323,2026,04,25
0,13,41.827,-87.624,41.828,-87.614,7,890924,2026,04,25
1,1,41.872,-87.654,41.936,-87.652,8,2458688,2026,04,25
0,21,41.95,-87.644,41.945,-87.669,44,1994626,2026,04,22
2,5,41.943,-87.647,41.936,-87.661,22,4306970,2026,04,26
0,12,41.936,-87.656,41.786,-87.751,72,834579,2026,04,25
1,23,41.922,-87.634,41.936,-87.652,35,3753974,2026,04,25
2,19,41.979,-87.903,41.929,-87.661,42,4850331,2026,04,22
1,4,41.885,-87.657,41.958,-87.667,27,2718305,2026,04,22
0,11,41.851,-87.635,41.879,-87.643,37,751114,2026,04,26
1,7,41.922,-87.646,41.909,-87.631,18,2924493,2026,04,22
2,20,41.885,-87.621,41.958,-87.653,13,4878122,2026,04,22
0,22,41.906,-87.675,41.861,-87.701,7,2112008,2026,04,22
0,23,41.891,-87.619,41.958,-87.676,21,2250392,2026,04,26
0,17,41.9,-87.629,41.885,-87.657,185,1404450,2026,04,26
2,6,41.929,-87.651,41.907,-87.636,162,4366724,2026,04,26
1,22,41.892,-87.675,41.946,-87.654,10,3643540,2026,04,25
2,4,41.936,-87.666,41.9,-87.665,6,4219060,2026,04,22
2,0,41.774,-87.693,41.886,-87.699,1,3799923,2026,04,22
1,8,41.922,-87.651,41.936,-87.676,1,2956210,2026,04,22
2,5,41.892,-87.613,41.895,-87.734,3,4274728,2026,04,26
0,18,41.915,-87.654,41.885,-87.621,169,1537961,2026,04,26
1,3,41.881,-87.633,41.893,-87.626,617,2633427,2026,04,22
0,14,41.761,-87.703,41.879,-87.657,1,983028,2026,04,22
0,22,41.715,-87.595,41.683,-87.572,23,2028304,2026,04,22
0,1,41.879,-87.672,41.921,-87.7,22,175503,2026,04,22
0,21,41.901,-87.694,41.868,-87.714,6,1954853,2026,04,22
0,14,41.777,-87.603,41.756,-87.584,6,990984,2026,04,22
1,1,42.005,-87.663,41.907,-87.71,1,2520330,2026,04,22
0,22,41.949,-87.652,41.951,-87.667,18,2148913,2026,04,22
0,18,41.891,-87.619,41.899,-87.626,486,1519635,2026,04,26
2,3,41.792,-87.611,41.79,-87.601,12,4076976,2026,04,22
0,21,41.791,-87.618,41.807,-87.609,4,1899958,2026,04,22
0,22,41.891,-87.619,41.834,-87.633,162,2095921,2026,04,22
1,4,41.906,-87.675,41.908,-87.627,26,2731216,2026,04,22
0,1,41.798,-87.599,41.783,-87.599,181,153108,2026,04,22
0,1,41.851,-87.635,41.859,-87.617,495,163784,2026,04,22
0,2,41.938,-87.647,41.946,-87.654,52,333826,2026,04,25
0,13,41.783,-87.604,41.798,-87.59,16,878024,2026,04,25
0,18,41.958,-87.653,41.905,-87.65,46,1565045,2026,04,25
0,19,41.835,-87.611,41.842,-87.622,38,1626449,2026,04,25
1,14,41.994,-87.665,41.892,-87.613,1,3104310,2026,04,25
1,12,41.946,-87.654,41.905,-87.65,6,3019255,2026,04,26
1,2,41.879,-87.657,41.898,-87.654,88,2548319,2026,04,22
1,19,41.877,-87.622,41.908,-87.627,36,3394805,2026,04,22
0,22,41.98,-87.694,41.953,-87.646,4,2168765,2026,04,22
0,23,41.891,-87.619,41.879,-87.657,377,2250173,2026,04,26
1,4,41.892,-87.632,41.953,-87.646,75,2722293,2026,04,22
1,2,41.9,-87.675,41.946,-87.647,2,2560121,2026,04,22
2,1,41.877,-87.622,41.906,-87.675,29,3912084,2026,04,22
0,22,41.863,-87.673,41.861,-87.631,13,2078876,2026,04,22
0,12,41.774,-87.693,41.863,-87.673,5,789995,2026,04,25
0,1,41.885,-87.643,41.885,-87.657,1390,179819,2026,04,22
2,3,41.958,-87.66,41.885,-87.657,59,4142923,2026,04,22
2,2,41.851,-87.635,41.921,-87.71,3,3995397,2026,04,22
1,23,41.987,-87.704,41.97,-87.713,2,3786582,2026,04,22
0,2,41.885,-87.621,41.79,-87.601,81,294625,2026,04,26
0,4,41.915,-87.632,41.936,-87.661,42,525293,2026,04,22
0,15,41.783,-87.608,41.922,-87.664,2,1117673,2026,04,22
0,13,41.965,-87.703,41.891,-87.619,19,952853,2026,04,22
2,22,41.893,-87.638,41.893,-87.626,223,5002853,2026,04,26
0,16,41.958,-87.684,41.979,-87.903,146,1316547,2026,04,22
0,5,41.801,-87.585,41.801,-87.585,17,574944,2026,04,22
