Trip ID,Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Census Tract,Dropoff Census Tract,Fare,Tip,Additional Charges,Trip Total,Pickup Centroid Latitude,Pickup Centroid Longitude,Dropoff Centroid Latitude,Dropoff Centroid Longitude,start_hour,day_type
84fd371c84938b5f7773cb95cf650c287b455a18,2025-08-26 10:00:00,2025-08-26 10:00:00,429,1.3,17031081800.0,17031842200.0,$7.5,$4,$2.73,$14.23,41.893,-87.638,41.905,-87.65,10,0
d37d6c1b06731d25f7cba34785646b0a40a8f70e,2025-03-16 03:45:00,2025-03-16 04:00:00,489,1.5,17031081700.0,17031320100.0,$7.5,$0,$1.23,$8.73,41.892,-87.632,41.885,-87.621,3,2
899454cf0e849ae0af8abc4fb724ed1f9098e7e1,2025-10-26 15:15:00,2025-10-26 15:30:00,993,2.6,17031080100.0,17031281900.0,$10,$0,$6.31,$16.31,41.908,-87.627,41.879,-87.643,15,2
96f38a75115067d6a3bd7a31bf5723e5db2ddfd5,2025-03-31 14:45:00,2025-03-31 14:45:00,431,1.2,17031320100.0,17031081300.0,$10,$3,$3.29,$16.29,41.885,-87.621,41.898,-87.621,14,0
950fcc7406f645a6e9ff9cc3f743fd6fff0c4542,2025-02-04 19:30:00,2025-02-04 19:45:00,953,3.2,17031071100.0,17031031502.0,$10,$0,$2.31,$12.31,41.922,-87.651,41.964,-87.652,19,0
5311ed42829d497960283a03781f4a767dbc9b66,2025-03-21 22:15:00,2025-03-21 22:15:00,799,2.2,17031842300.0,17031071400.0,$12.5,$0,$1.23,$13.73,41.898,-87.654,41.922,-87.634,22,0
a03e353d748dc5841a6ae9412b204b56539d2ff9,2025-08-31 16:00:00,2025-08-31 16:00:00,582,2.0,17031081800.0,17031280400.0,$10,$0,$6.78,$16.78,41.893,-87.638,41.886,-87.672,16,2
9c1fffdbebf5ef6a59c5e3f8456edb6b470bc7c7,2025-06-11 08:45:00,2025-06-11 09:45:00,"3,804",17.9,17031081403.0,17031980000.0,$67.5,$0,$7.73,$75.23,41.891,-87.619,41.979,-87.903,8,0
f6acf02b6bfb21f6b668bfa1926d801c64c62902,2025-06-22 17:30:00,2025-06-22 17:45:00,889,7.0,17031351000.0,17031691200.0,$7.5,$0,$11.71,$19.21,41.835,-87.611,41.754,-87.632,17,2
e93586d31c78c9d3ed7cd7abbed13af01f587562,2025-08-01 13:30:00,2025-08-01 14:00:00,"1,521",2.4,17031081100.0,17031242100.0,$17.5,$0,$2.73,$20.23,41.9,-87.629,41.9,-87.67,13,0
902958eb406c711804e6968c42cd4b6d1ae55cab,2025-06-01 13:00:00,2025-06-01 13:30:00,"1,157",7.6,17031030500.0,17031081500.0,$15,$5,$2.73,$22.73,41.987,-87.665,41.893,-87.626,13,2
6de73b0771f0c9d8cb643d7742f6b678e3bfc639,2025-11-24 17:15:00,2025-11-24 17:15:00,567,1.8,17031841900.0,17031330100.0,$7.5,$0,$1.23,$8.73,41.868,-87.643,41.859,-87.617,17,0
3aa622d39607535d6fa5a3a9bc04c5362ff250bd,2025-02-18 11:30:00,2025-02-18 11:30:00,510,1.3,17031081401.0,17031839100.0,$10,$5,$4.42,$19.42,41.895,-87.62,41.881,-87.633,11,0
