day_type,start_hour,Pickup Centroid Latitude,Pickup Centroid Longitude,Dropoff Centroid Latitude,Dropoff Centroid Longitude,group_n,group_id,representative_year,representative_month,representative_day
2,14,41.891,-87.619,41.979,-87.903,864,4564022,2026,04,22
2,0,41.935,-87.643,41.936,-87.652,23,3853691,2026,04,22
0,11,41.868,-87.643,41.786,-87.751,204,752883,2026,04,26
1,1,41.906,-87.631,41.945,-87.662,12,2476422,2026,04,25
1,22,41.879,-87.643,41.967,-87.711,2,3638917,2026,04,25
0,17,41.893,-87.626,41.906,-87.675,117,1399104,2026,04,26
0,1,41.915,-87.646,41.935,-87.647,13,202840,2026,04,22
2,3,41.912,-87.675,41.906,-87.631,12,4113189,2026,04,22
1,21,41.943,-87.657,41.945,-87.681,7,3587824,2026,04,26
0,2,41.859,-87.617,41.905,-87.65,102,282198,2026,04,26
0,4,41.885,-87.657,41.936,-87.671,52,505012,2026,04,22
1,17,41.892,-87.67,41.892,-87.613,6,3258190,2026,04,22
0,6,41.885,-87.621,41.937,-87.722,4,643560,2026,04,26
0,22,41.718,-87.653,41.742,-87.63,23,2028838,2026,04,22
0,13,41.965,-87.663,41.97,-87.76,8,953406,2026,04,22
0,22,41.9,-87.67,41.922,-87.664,25,2107560,2026,04,22
2,8,41.936,-87.656,41.9,-87.629,21,4459586,2026,04,25
1,23,41.919,-87.671,41.943,-87.647,22,3750259,2026,04,25
0,19,41.879,-87.643,41.893,-87.626,1203,1645474,2026,04,25
0,12,41.755,-87.651,41.87,-87.675,36,785698,2026,04,25
0,14,41.915,-87.654,41.929,-87.646,24,1048655,2026,04,22
0,19,41.996,-87.656,42.005,-87.659,8,1716724,2026,04,22
2,22,42.008,-87.686,41.958,-87.66,1,5039506,2026,04,26
0,1,41.973,-87.664,41.892,-87.629,30,241177,2026,04,26
1,5,41.973,-87.65,41.985,-87.658,3,2841421,2026,04,22
1,21,41.915,-87.632,41.928,-87.695,6,3572441,2026,04,26
0,23,41.938,-87.647,41.893,-87.626,57,2296112,2026,04,26
1,4,41.783,-87.594,41.798,-87.604,23,2699570,2026,04,22
