Trip ID,Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Census Tract,Dropoff Census Tract,Fare,Tip,Additional Charges,Trip Total,Pickup Centroid Latitude,Pickup Centroid Longitude,Dropoff Centroid Latitude,Dropoff Centroid Longitude,start_hour,day_of_week,Int Total
aa9a5d7d50b3ab7efe532195290a14b9b860f9cf,2025-12-17 20:45:00,2025-12-17 20:45:00,601,1.8,17031081800.0,17031833100.0,$17.5,$0,$5.34,$22.84,41.893,-87.638,41.879,-87.657,20,2,22.84
4b3e5915080264f48f5f60317b86a85e4616e465,2025-06-08 23:15:00,2025-06-08 23:30:00,947,5.8,17031320100.0,17031839900.0,$12.5,$0,$1.23,$13.73,41.885,-87.621,41.827,-87.649,23,6,13.73
c70b6a8e17a183a758ba456124b58c635e1e03cb,2025-11-01 20:15:00,2025-11-01 20:30:00,642,2.8,17031831900.0,17031030800.0,$10,$2,$1.23,$13.23,41.945,-87.669,41.98,-87.664,20,5,13.23
fa727e6d567d257546705701a8c7d15114fa90db,2025-07-31 21:45:00,2025-07-31 22:30:00,"2,466",15.4,17031980000.0,17031242500.0,$30,$0,$23.79,$53.79,41.979,-87.903,41.899,-87.689,21,3,53.79
ced22ef443b48170c21cbee94b249b776f9890e5,2025-12-23 21:45:00,2025-12-23 22:00:00,658,3.0,17031832000.0,17031160800.0,$7.5,$0,$3.53,$11.03,41.946,-87.654,41.95,-87.713,21,1,11.03
e6db6372477f91a794428079655d40f630984d0a,2025-11-25 06:30:00,2025-11-25 07:00:00,"1,259",5.5,17031063400.0,17031838200.0,$15,$5,$1.23,$21.23,41.935,-87.647,41.87,-87.675,6,1,21.23
8a1f2492250c72c09c16027fc569fb0d1ec17471,2025-03-26 17:45:00,2025-03-26 18:15:00,"1,389",3.1,17031833000.0,17031071300.0,$17.5,$0,$2.73,$20.23,41.885,-87.657,41.922,-87.641,17,2,20.23
16355a7f467bc99cfa53036ad54140a873425631,2025-01-11 19:45:00,2025-01-11 20:15:00,"1,733",9.3,17031320100.0,17031040202.0,$20,$0,$1.23,$21.23,41.885,-87.621,41.98,-87.694,19,5,21.23
49f4c8ac9dafd3d7e38a95340dffa75378e49a62,2025-12-18 19:00:00,2025-12-18 19:30:00,"1,655",5.9,17031020702.0,17031830900.0,$12.5,$0,$5.3,$17.8,41.994,-87.705,41.929,-87.685,19,3,17.8
d7f28a8b706192bdb5c10d4d3a8923cbaf1484be,2025-07-03 15:15:00,2025-07-03 16:45:00,"5,672",17.9,17031980000.0,17031839100.0,$57.5,$14,$19.28,$90.78,41.979,-87.903,41.881,-87.633,15,3,90.78
4f65e829bfad5f2137c95bed5a92a5245a8b8fa6,2025-04-27 19:00:00,2025-04-27 19:00:00,554,2.0,17031320400.0,17031841000.0,$7.5,$0,$11.67,$19.17,41.877,-87.622,41.849,-87.624,19,6,19.17
b20d3e5480f182b58ea4788d7872387d0ddefa29,2025-05-22 07:45:00,2025-05-22 08:00:00,"1,297",3.5,17031660600.0,17031570400.0,$20,$0,$3.4,$23.4,41.777,-87.693,41.805,-87.719,7,3,23.4
f7ebb4c65def19d8f7db914ab6054f086f40429d,2025-01-17 07:15:00,2025-01-17 07:45:00,"1,472",8.3,17031390700.0,17031280100.0,$17.5,$0,$1.23,$18.73,41.806,-87.587,41.885,-87.643,7,4,18.73
2e2189a3b7faa6f485b1c09813041f112857f74e,2025-11-10 14:15:00,2025-11-10 14:45:00,"1,625",6.0,17031832600.0,17031040201.0,$22.5,$4,$1.23,$27.73,41.915,-87.654,41.973,-87.694,14,0,27.73
eee92ff44c1d32d43c89fa4fc45ade7c0e882fbe,2025-10-19 19:45:00,2025-10-19 20:00:00,999,3.2,17031330100.0,17031320600.0,$10,$0,$7.37,$17.37,41.859,-87.617,41.871,-87.622,19,6,17.37
f18b3ca59308e5896535ce93dc2213349aacc1ce,2025-10-04 21:30:00,2025-10-04 21:45:00,989,3.9,17031832500.0,17031160502.0,$15,$3,$5.87,$23.87,41.922,-87.664,41.956,-87.713,21,5,23.87
f6a5e734596d7f62b2302194228da4afc7bade05,2025-12-06 08:30:00,2025-12-06 08:45:00,"1,099",7.5,17031280100.0,17031060900.0,$15,$3,$1.23,$19.23,41.885,-87.643,41.95,-87.644,8,5,19.23
f4cc845ea134775da68396db378a53b01f65ea8b,2025-01-20 18:00:00,2025-01-20 18:00:00,672,2.3,17031063400.0,17031060200.0,$7.5,$0,$4.36,$11.86,41.935,-87.647,41.958,-87.672,18,0,11.86
6c830fcd39c1a96a5df2b64e442882db355e2a5e,2025-06-08 21:00:00,2025-06-08 21:00:00,471,1.6,17031210502.0,17031831200.0,$12.5,$0,$1.23,$13.73,41.934,-87.722,41.915,-87.732,21,6,13.73
785b31098b171e54ebfeb5c756307e3072000ed9,2025-01-13 16:15:00,2025-01-13 16:15:00,304,0.8,17031320600.0,17031839000.0,$5,$0,$4.18,$9.18,41.871,-87.622,41.871,-87.631,16,0,9.18
2f4399c0ddbf61285ab3b9b4412807d04d60de52,2025-08-02 13:30:00,2025-08-02 13:45:00,"1,166",4.8,17031051400.0,17031281900.0,$20,$0,$2.73,$22.73,41.936,-87.681,41.879,-87.643,13,5,22.73
229a67bed04a377c2eb211a945e2a041a8795dd5,2025-08-16 22:45:00,2025-08-16 23:00:00,738,3.2,17031062700.0,17031080300.0,$12.5,$0,$4.91,$17.41,41.936,-87.666,41.907,-87.636,22,5,17.41
b62002b6660585aaef984d510e2ef2fba98d20bc,2025-05-21 08:15:00,2025-05-21 08:30:00,382,0.7,17031010100.0,17031010202.0,$7.5,$0,$1.23,$8.73,42.021,-87.67,42.016,-87.673,8,2,8.73
44f1624008b7adeee6e9a938b0c62b0a8bb56262,2025-03-13 08:00:00,2025-03-13 08:15:00,977,1.7,17031081700.0,17031281900.0,$15,$0,$4.21,$19.21,41.892,-87.632,41.879,-87.643,8,3,19.21
501e29157cf363607679b5a27b651498d5abed53,2025-01-26 11:15:00,2025-01-26 11:30:00,"1,261",7.0,17031210502.0,17031081201.0,$15,$0,$4.34,$19.34,41.934,-87.722,41.899,-87.626,11,6,19.34
b2cf00a1ad8f061e92bfc93892a7c3bf8e097825,2025-11-22 23:45:00,2025-11-22 23:45:00,576,3.6,17031740300.0,17031720500.0,$10,$0,$5.51,$15.51,41.695,-87.711,41.703,-87.689,23,5,15.51
7709e1c6a75eaf73ec6469956cd8bc7da9daaf87,2025-01-06 20:45:00,2025-01-06 20:45:00,514,1.4,17031836200.0,17031410900.0,$0,$0,$0,$0,41.79,-87.601,41.797,-87.582,20,0,0.0
69eeb11a3063d74ed2e117cd6aed232b8ba79ee6,2025-05-08 22:00:00,2025-05-08 22:15:00,672,1.8,17031081800.0,17031839100.0,$17.5,$0,$2,$19.5,41.893,-87.638,41.881,-87.633,22,3,19.5
ef2295224280895825ec32547dd5f39164ee9cfe,2025-12-11 19:15:00,2025-12-11 19:15:00,521,1.8,17031839100.0,17031081403.0,$15,$0,$6.19,$21.19,41.881,-87.633,41.891,-87.619,19,3,21.19
61dc7172dae93caa487b7aa58ea03f8a0d4c7dc3,2025-04-15 22:00:00,2025-04-15 22:15:00,"1,090",11.3,17031240500.0,17031836200.0,$20,$0,$1.23,$21.23,41.912,-87.684,41.79,-87.601,22,1,21.23
0ca1c9169f6b47bc0c8cd044a3619e2549402adb,2025-10-14 17:45:00,2025-10-14 18:00:00,577,1.0,17031080300.0,17031081700.0,$5,$0,$4.43,$9.43,41.907,-87.636,41.892,-87.632,17,1,9.43
d8ca7fa187fb15bc7c3e4f4a17d527f000d33e0e,2025-02-03 10:15:00,2025-02-03 10:30:00,796,3.4,17031838200.0,17031320100.0,$12.5,$0,$1.23,$13.73,41.87,-87.675,41.885,-87.621,10,0,13.73
b5d41d45650c85cdcfafc34ec0bc8c18a35347f5,2025-06-29 13:00:00,2025-06-29 13:15:00,737,2.3,17031081201.0,17031071400.0,$15,$7,$6.8,$28.8,41.899,-87.626,41.922,-87.634,13,6,28.8
ae52b0d4f121c7b39f2bfdc5f3fd5fe2266c5cec,2025-08-02 00:00:00,2025-08-02 00:15:00,738,3.9,17031839100.0,17031842200.0,$20,$4,$6.62,$30.62,41.881,-87.633,41.905,-87.65,0,5,30.62
db7f3d9d985d1126a89e2700d2092e57e4631fef,2025-08-25 10:30:00,2025-08-25 10:45:00,"1,693",14.3,17031062800.0,17031980000.0,$27.5,$5,$6.23,$38.73,41.936,-87.661,41.979,-87.903,10,0,38.73
7867b67300c72dc75626bf41812972deb388bc42,2025-03-29 12:45:00,2025-03-29 13:00:00,589,3.1,17031980000.0,17031770700.0,$10,$0,$6.23,$16.23,41.979,-87.903,41.983,-87.877,12,5,16.23
7f67d4d1e59a1119039530ff1ed00cd16bc80889,2025-03-30 08:30:00,2025-03-30 08:45:00,343,1.3,17031070102.0,17031070400.0,$10,$0,$2.35,$12.35,41.931,-87.642,41.929,-87.656,8,6,12.35
51ae28b8f00618d374c419f2fdc76de0216289a3,2025-01-23 09:45:00,2025-01-23 10:00:00,"1,406",6.5,17031836300.0,17031843200.0,$7.5,$2,$2.83,$12.33,41.802,-87.602,41.847,-87.664,9,3,12.33
424a7bb778ba83150d0358b68204d8f8d68f71f9,2025-07-20 19:15:00,2025-07-20 19:15:00,569,1.4,17031320400.0,17031081201.0,$5,$2,$5.61,$12.61,41.877,-87.622,41.899,-87.626,19,6,12.61
6cbbe9cd69f5d0c2b17eee546c17acff7f4cebf7,2025-10-22 20:15:00,2025-10-22 20:15:00,557,1.4,17031832500.0,17031842200.0,$7.5,$0,$2.73,$10.23,41.922,-87.664,41.905,-87.65,20,2,10.23
26609715e04789ae3ea67a13b6100235ba77082a,2025-06-27 11:00:00,2025-06-27 11:15:00,569,1.8,17031081700.0,17031833000.0,$7.5,$0,$6.42,$13.92,41.892,-87.632,41.885,-87.657,11,4,13.92
40616a90ffb2e3b8a8f5c2090e9c7a18f6488360,2025-07-17 22:00:00,2025-07-17 22:15:00,881,3.9,17031241400.0,17031210502.0,$12.5,$0,$1.23,$13.73,41.906,-87.675,41.934,-87.722,22,3,13.73
5ec257ec14321783f2682865b82bdba2f071610d,2025-07-26 16:00:00,2025-07-26 16:15:00,"1,073",4.1,17031243500.0,17031330100.0,$25,$0,$1.23,$26.23,41.893,-87.653,41.859,-87.617,16,5,26.23
9a175295400a4fe1b9636339ea40288fb9611c3b,2025-08-30 19:30:00,2025-08-30 19:45:00,965,3.4,17031190300.0,17031210700.0,$10,$0,$5.39,$15.39,41.935,-87.761,41.936,-87.704,19,5,15.39
1d30a79b59cc1387c16009eef119e1105d8a0452,2025-09-05 11:45:00,2025-09-05 12:15:00,"2,031",8.1,17031081201.0,17031410800.0,$25,$0,$2.73,$27.73,41.899,-87.626,41.798,-87.59,11,4,27.73
a01e9a9407cb5acf5a8ec714ce1484ee4d7c5ce3,2025-06-13 22:45:00,2025-06-13 23:15:00,"1,915",7.6,17031243500.0,17031190300.0,$45,$9,$1.23,$55.23,41.893,-87.653,41.935,-87.761,22,4,55.23
5ce784a7d74da132ec13ca01c14dc1eec6aa08d3,2025-11-27 16:15:00,2025-11-27 16:45:00,"1,701",9.7,17031243500.0,17031020100.0,$30,$4,$2.73,$36.73,41.893,-87.653,42.016,-87.687,16,3,36.73
b3c9e30d3b6fc44b8886dbab4405372cc8068418,2025-01-28 07:45:00,2025-01-28 07:45:00,433,1.9,17031080100.0,17031320100.0,$10,$0,$2.73,$12.73,41.908,-87.627,41.885,-87.621,7,1,12.73
