day_type,start_hour,Pickup Centroid Latitude,Pickup Centroid Longitude,Dropoff Centroid Latitude,Dropoff Centroid Longitude,group_n,group_id,representative_year,representative_month,representative_day
0,4,41.979,-87.903,41.936,-87.666,83,558837,2026,04,22
0,20,41.872,-87.654,41.905,-87.702,1,1781137,2026,04,22
1,22,41.892,-87.632,41.885,-87.684,51,3644133,2026,04,25
0,14,41.881,-87.633,41.891,-87.619,1449,1027110,2026,04,22
0,12,41.979,-87.903,41.885,-87.643,383,847978,2026,04,25
0,15,41.783,-87.608,41.881,-87.633,26,1117646,2026,04,22
0,2,41.885,-87.621,41.885,-87.657,2437,294798,2026,04,26
1,18,41.943,-87.641,41.949,-87.652,8,3352082,2026,04,22
0,12,41.877,-87.76,41.83,-87.724,23,809885,2026,04,25
0,4,41.943,-87.652,41.931,-87.642,49,543190,2026,04,22
1,21,41.748,-87.649,41.748,-87.649,13,3530315,2026,04,26
2,5,41.9,-87.67,41.949,-87.657,12,4279907,2026,04,26
2,3,41.921,-87.685,42.002,-87.775,1,4118870,2026,04,22
1,17,41.877,-87.622,41.885,-87.657,163,3253434,2026,04,22
0,23,41.892,-87.702,41.886,-87.699,6,2250909,2026,04,26
2,0,41.898,-87.621,41.893,-87.626,280,3830324,2026,04,22
0,0,41.879,-87.657,41.898,-87.654,260,49784,2026,04,22
0,22,41.935,-87.647,41.895,-87.62,36,2136288,2026,04,22
1,1,41.979,-87.903,41.849,-87.624,185,2514565,2026,04,22
0,21,41.802,-87.632,41.776,-87.58,2,1904227,2026,04,22
0,1,41.951,-87.667,41.98,-87.694,12,230528,2026,04,22
1,18,41.87,-87.659,41.892,-87.613,5,3320437,2026,04,22
1,5,41.936,-87.666,41.907,-87.636,85,2824564,2026,04,22
0,8,41.892,-87.632,41.859,-87.617,160,697700,2026,04,26
0,0,41.899,-87.626,41.881,-87.633,1031,65689,2026,04,22
0,0,41.806,-87.587,41.79,-87.601,579,26299,2026,04,22
2,15,41.892,-87.702,41.885,-87.657,5,4602985,2026,04,22
0,18,41.899,-87.626,41.885,-87.643,480,1528022,2026,04,26
2,0,41.881,-87.633,41.893,-87.653,151,3821434,2026,04,22
2,8,41.856,-87.644,41.856,-87.669,4,4440526,2026,04,25
0,0,41.879,-87.657,41.908,-87.671,91,49820,2026,04,22
2,0,41.798,-87.59,41.79,-87.601,416,3804746,2026,04,22
0,1,41.797,-87.582,41.859,-87.617,42,152675,2026,04,22
0,4,41.92,-87.68,41.9,-87.68,27,527230,2026,04,22
1,3,41.885,-87.621,41.905,-87.65,107,2635839,2026,04,22
0,6,41.958,-87.66,41.936,-87.652,8,664715,2026,04,26
0,15,41.935,-87.761,41.935,-87.64,4,1183769,2026,04,22
0,4,41.943,-87.652,41.922,-87.641,46,543167,2026,04,22
0,23,41.979,-87.903,41.859,-87.617,1383,2324507,2026,04,26
0,12,41.892,-87.613,41.881,-87.633,1155,816755,2026,04,25
0,1,41.885,-87.657,41.943,-87.643,206,179437,2026,04,22
2,2,41.98,-87.671,41.973,-87.679,13,4060609,2026,04,22
1,23,41.881,-87.633,41.776,-87.58,1,3728739,2026,04,25
1,21,41.859,-87.617,41.895,-87.62,196,3547777,2026,04,26
0,17,41.979,-87.903,41.893,-87.638,1249,1446611,2026,04,26
0,0,41.9,-87.632,41.871,-87.631,95,67440,2026,04,22
0,18,41.929,-87.636,41.834,-87.668,1,1548241,2026,04,26
1,3,41.871,-87.622,41.899,-87.626,36,2629785,2026,04,22
1,1,41.893,-87.638,41.922,-87.664,86,2468746,2026,04,25
0,23,41.943,-87.643,41.962,-87.645,55,2301410,2026,04,26
0,14,41.879,-87.643,41.868,-87.643,525,1026481,2026,04,22
2,20,41.979,-87.903,41.898,-87.621,296,4911184,2026,04,22
1,15,41.885,-87.643,41.891,-87.619,128,3129284,2026,04,25
0,0,41.881,-87.633,41.9,-87.68,174,51011,2026,04,22
0,3,41.892,-87.632,41.885,-87.657,1997,407533,2026,04,22
0,3,41.922,-87.646,41.938,-87.639,106,430851,2026,04,22
2,5,41.881,-87.633,41.877,-87.622,97,4268538,2026,04,26
0,19,41.879,-87.643,41.892,-87.632,794,1645468,2026,04,25
2,4,41.859,-87.617,41.893,-87.638,249,4176218,2026,04,22
1,0,41.9,-87.67,41.946,-87.654,11,2381448,2026,04,25
0,0,41.892,-87.629,41.879,-87.643,757,59149,2026,04,22
0,20,41.859,-87.617,41.899,-87.626,549,1773951,2026,04,22
0,13,41.942,-87.666,41.881,-87.633,66,941711,2026,04,22
0,9,41.942,-87.771,41.979,-87.903,7,717510,2026,04,26
2,10,41.899,-87.626,41.885,-87.621,23,4493075,2026,04,25
1,18,41.958,-87.653,41.922,-87.646,9,3357520,2026,04,22
0,6,41.885,-87.643,41.892,-87.632,251,643052,2026,04,26
0,23,41.895,-87.62,41.898,-87.654,263,2257075,2026,04,26
0,15,41.898,-87.621,41.879,-87.643,521,1161166,2026,04,22
1,19,41.879,-87.643,41.864,-87.693,4,3395816,2026,04,22
1,2,41.929,-87.712,41.936,-87.704,7,2575854,2026,04,22
0,18,41.946,-87.647,41.987,-87.672,1,1558972,2026,04,25
0,21,41.885,-87.643,41.922,-87.641,77,1940038,2026,04,22
1,4,41.899,-87.626,41.943,-87.701,5,2727420,2026,04,22
2,9,41.762,-87.649,41.979,-87.903,1,4469328,2026,04,25
2,4,41.885,-87.657,41.898,-87.654,401,4184974,2026,04,22
0,19,41.929,-87.636,41.929,-87.712,18,1682237,2026,04,25
0,5,41.95,-87.644,41.905,-87.65,23,619536,2026,04,22
2,3,41.915,-87.654,41.893,-87.638,118,4114307,2026,04,22
0,14,41.855,-87.655,41.877,-87.622,43,1014198,2026,04,22
0,2,41.893,-87.638,41.905,-87.65,283,300863,2026,04,26
0,16,41.79,-87.699,41.847,-87.664,11,1241144,2026,04,22
0,22,41.912,-87.684,41.921,-87.705,10,2117668,2026,04,22
2,16,41.922,-87.646,41.9,-87.67,2,4663176,2026,04,22
0,13,41.77,-87.574,41.859,-87.617,15,873550,2026,04,25
1,10,41.9,-87.665,41.979,-87.903,21,2985455,2026,04,22
0,19,41.922,-87.664,41.967,-87.652,2,1676074,2026,04,25
0,1,41.893,-87.638,41.885,-87.657,2373,186539,2026,04,22
1,14,41.915,-87.632,41.92,-87.68,1,3086006,2026,04,25
2,6,41.885,-87.657,41.881,-87.633,997,4342715,2026,04,26
0,1,41.742,-87.63,41.742,-87.63,100,139162,2026,04,22
0,17,41.892,-87.632,41.881,-87.633,2045,1396860,2026,04,26
0,23,41.938,-87.647,41.962,-87.645,59,2296279,2026,04,26
2,1,41.95,-87.738,41.856,-87.66,1,3956667,2026,04,22
0,11,41.842,-87.622,41.87,-87.675,36,750522,2026,04,26
0,3,41.859,-87.617,41.9,-87.67,39,391534,2026,04,25
1,20,41.958,-87.672,41.929,-87.651,7,3511707,2026,04,26
0,15,41.892,-87.629,41.881,-87.633,2209,1157520,2026,04,22
0,21,41.881,-87.633,41.877,-87.622,1231,1936747,2026,04,22
0,20,41.908,-87.627,41.915,-87.654,36,1810719,2026,04,22
1,20,41.892,-87.613,41.885,-87.621,401,3478767,2026,04,22
0,4,41.879,-87.672,41.963,-87.67,6,501680,2026,04,22
0,22,41.786,-87.751,41.893,-87.626,1210,2051355,2026,04,22
0,19,41.902,-87.638,41.929,-87.646,18,1663042,2026,04,25
2,18,41.899,-87.626,41.893,-87.626,109,4765606,2026,04,22
0,21,41.942,-87.661,41.879,-87.657,11,1986859,2026,04,22
0,16,41.885,-87.621,41.979,-87.903,6979,1273955,2026,04,22
1,22,41.921,-87.7,41.893,-87.653,8,3660928,2026,04,25
0,1,41.871,-87.622,41.885,-87.657,1098,171937,2026,04,22
1,7,41.892,-87.632,41.79,-87.601,75,2912290,2026,04,22
1,2,41.943,-87.652,41.922,-87.634,34,2585383,2026,04,22
0,19,41.987,-87.694,41.869,-87.664,1,1713205,2026,04,25
2,7,41.885,-87.657,41.892,-87.632,1497,4400551,2026,04,25
2,3,41.907,-87.636,41.891,-87.619,147,4111023,2026,04,22
1,23,41.881,-87.633,41.891,-87.619,719,3728913,2026,04,25
2,3,41.849,-87.624,41.885,-87.643,38,4083603,2026,04,22
0,23,41.885,-87.657,41.885,-87.621,3197,2247249,2026,04,26
0,2,41.922,-87.664,41.936,-87.666,35,321305,2026,04,26
0,17,41.827,-87.664,41.856,-87.66,5,1370685,2026,04,22
1,4,41.844,-87.683,41.915,-87.654,4,2706239,2026,04,22
2,22,41.949,-87.657,41.885,-87.657,28,5025853,2026,04,26
0,20,41.881,-87.633,41.979,-87.903,11001,1787362,2026,04,22
0,15,41.906,-87.631,41.922,-87.646,33,1167550,2026,04,22
1,0,41.877,-87.622,41.892,-87.632,346,2368121,2026,04,25
0,21,41.891,-87.619,41.885,-87.621,1083,1942346,2026,04,22
2,3,41.871,-87.622,41.849,-87.624,113,4090261,2026,04,22
0,2,41.862,-87.732,41.776,-87.65,2,282851,2026,04,26
2,23,41.915,-87.632,41.979,-87.903,70,5073070,2026,04,26
0,21,41.943,-87.718,41.942,-87.747,16,1987645,2026,04,22
0,1,41.958,-87.653,41.945,-87.662,10,234200,2026,04,22
0,17,41.787,-87.622,41.787,-87.622,6,1360095,2026,04,22
1,20,41.774,-87.681,41.797,-87.745,1,3453649,2026,04,22
0,0,41.892,-87.632,41.885,-87.621,2202,58618,2026,04,22
2,2,41.943,-87.657,41.973,-87.773,1,4043115,2026,04,22
0,19,41.885,-87.657,41.885,-87.621,1980,1648577,2026,04,25
0,12,41.835,-87.611,41.881,-87.633,209,801942,2026,04,25
0,19,41.898,-87.621,41.872,-87.654,9,1658422,2026,04,25
0,15,41.899,-87.626,41.885,-87.621,950,1162980,2026,04,22
0,22,41.881,-87.633,41.79,-87.601,202,2090185,2026,04,22
0,13,41.893,-87.626,41.893,-87.638,1185,915314,2026,04,22
0,3,41.916,-87.675,41.908,-87.627,21,426360,2026,04,22
0,22,41.915,-87.632,41.9,-87.632,93,2120184,2026,04,22
0,23,41.79,-87.601,41.833,-87.654,45,2208196,2026,04,26
1,14,41.849,-87.624,41.979,-87.903,110,3070855,2026,04,25
1,2,41.929,-87.712,41.936,-87.652,21,2575860,2026,04,22
1,19,41.893,-87.638,41.936,-87.661,37,3401977,2026,04,22
2,2,41.895,-87.62,41.893,-87.653,26,4012894,2026,04,22
2,22,41.798,-87.599,41.79,-87.601,62,4987013,2026,04,26
0,0,41.979,-87.903,41.965,-87.663,188,122650,2026,04,22
1,6,41.936,-87.671,41.929,-87.666,6,2884311,2026,04,22
0,0,41.879,-87.643,41.928,-87.744,2,50430,2026,04,22
0,15,41.903,-87.626,41.892,-87.632,142,1165356,2026,04,22
0,14,41.899,-87.626,41.922,-87.634,59,1039233,2026,04,22
1,5,42.006,-87.902,41.921,-87.7,1,2846323,2026,04,22
0,22,41.885,-87.657,41.892,-87.632,2428,2092980,2026,04,22
0,23,41.953,-87.653,41.929,-87.651,40,2309099,2026,04,26
2,5,41.892,-87.632,41.922,-87.664,64,4273932,2026,04,26
0,16,41.979,-87.903,41.893,-87.626,3400,1325674,2026,04,22
0,4,41.885,-87.657,41.92,-87.68,166,504953,2026,04,22
0,0,41.885,-87.657,41.856,-87.66,246,53126,2026,04,22
0,0,41.908,-87.671,41.921,-87.71,51,74312,2026,04,22
1,0,41.893,-87.638,41.997,-87.657,2,2377180,2026,04,25
1,23,41.973,-87.694,41.893,-87.638,7,3781797,2026,04,22
0,13,41.898,-87.621,41.87,-87.675,83,917065,2026,04,22
2,0,41.935,-87.64,41.996,-87.794,1,3854004,2026,04,22
1,1,41.931,-87.642,41.885,-87.657,87,2491514,2026,04,22
0,2,41.928,-87.7,41.943,-87.652,13,324958,2026,04,25
1,20,41.979,-87.903,41.963,-87.713,5,3518706,2026,04,26
2,6,41.892,-87.665,41.891,-87.619,28,4345600,2026,04,26
0,0,41.893,-87.638,41.9,-87.675,176,60926,2026,04,22
1,22,41.741,-87.61,41.741,-87.61,6,3613610,2026,04,26
1,0,41.881,-87.633,41.885,-87.621,900,2369972,2026,04,25
1,1,41.837,-87.653,41.782,-87.74,1,2450354,2026,04,25
0,22,41.859,-87.617,41.791,-87.594,58,2076754,2026,04,22
0,16,41.898,-87.654,41.935,-87.752,1,1280559,2026,04,22
1,19,41.901,-87.694,41.891,-87.619,14,3406277,2026,04,22
0,23,41.951,-87.667,41.936,-87.652,30,2308283,2026,04,26
1,7,41.892,-87.632,41.885,-87.621,612,2912426,2026,04,22
0,22,41.908,-87.671,41.903,-87.626,27,2115498,2026,04,22
0,13,41.879,-87.657,41.891,-87.619,327,907118,2026,04,25
0,17,41.893,-87.626,41.885,-87.657,1438,1399056,2026,04,26
0,6,41.9,-87.675,41.916,-87.692,3,648498,2026,04,26
2,16,41.871,-87.622,41.893,-87.626,171,4647108,2026,04,22
0,1,41.892,-87.629,41.871,-87.622,483,184793,2026,04,22
0,2,41.927,-87.643,41.879,-87.657,11,323713,2026,04,26
0,13,41.905,-87.65,41.881,-87.633,1639,921159,2026,04,22
0,23,41.9,-87.629,41.881,-87.633,398,2263033,2026,04,26
2,3,41.929,-87.685,41.9,-87.67,10,4123400,2026,04,22
0,3,41.891,-87.619,41.936,-87.666,32,405387,2026,04,22
1,1,41.885,-87.643,41.893,-87.638,303,2463637,2026,04,25
0,20,41.899,-87.709,41.892,-87.632,24,1801234,2026,04,22
1,19,41.892,-87.67,41.892,-87.613,7,3400094,2026,04,22
0,1,41.95,-87.644,41.983,-87.658,4,229756,2026,04,22
2,16,41.907,-87.636,41.898,-87.621,17,4658792,2026,04,22
0,21,41.931,-87.642,41.893,-87.626,56,1978367,2026,04,22
0,21,41.885,-87.643,41.881,-87.633,1266,1939923,2026,04,22
1,0,41.877,-87.708,41.906,-87.734,1,2367719,2026,04,25
0,18,41.859,-87.617,41.979,-87.903,1984,1503516,2026,04,26
1,22,41.898,-87.621,41.898,-87.654,55,3647803,2026,04,25
1,2,41.885,-87.643,41.885,-87.657,623,2551044,2026,04,22
1,0,41.93,-87.724,41.885,-87.657,17,2399959,2026,04,25
1,4,41.979,-87.903,41.892,-87.629,164,2768876,2026,04,22
0,5,41.798,-87.604,41.798,-87.594,52,574367,2026,04,22
0,22,41.797,-87.582,41.893,-87.653,8,2055828,2026,04,22
0,2,41.79,-87.59,41.798,-87.59,129,268109,2026,04,26
